,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1698805000828,1.119,0.0,0,0,COMMIT,246904,1698805000826.881
5,1698805272383,1.093,0.0,0,0,COMMIT,246911,1698805272381.907
6,1698805326244,1.094,0.0,0,0,COMMIT,246903,1698805326242.906
7,1698805379682,1.088,0.0,0,0,COMMIT,246912,1698805379680.912
8,1698804533003,1.098,0.0,0,0,COMMIT,246915,1698804533001.902
9,1698804534372,2.151,0.0,0,0,COMMIT,246927,1698804534369.849
16,1698804717517,1.161,0.0,0,0,COMMIT,246919,1698804717515.839
17,1698804739380,1.163,0.0,0,0,COMMIT,246918,1698804739378.837
18,1698804809133,1.169,0.0,0,0,COMMIT,246933,1698804809131.831
19,1698804971117,1.102,0.0,0,0,COMMIT,246940,1698804971115.898
20,1698805207986,1.106,0.0,0,0,COMMIT,246951,1698805207984.894
21,1698805272015,1.014,0.0,0,0,COMMIT,246956,1698805272013.986
22,1698805370024,1.034,0.0,0,0,COMMIT,246965,1698805370022.966
23,1698804452647,2.037,0.098,1,450,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 10\
              AND OL_O_ID < 44782\
              AND OL_O_ID >= 44762\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",246968,1698804452644.963
24,1698804494455,1.083,0.0,0,0,COMMIT,246969,1698804494453.917
25,1698804531948,1.118,0.0,0,0,COMMIT,246970,1698804531946.882
30,1698804700848,1.047,0.0,0,0,COMMIT,246980,1698804700846.953
31,1698804738880,1.178,0.0,0,0,COMMIT,246974,1698804738878.822
32,1698804837536,1.635,0.096,1,396,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 5\
              AND OL_O_ID < 45153\
              AND OL_O_ID >= 45133\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",246990,1698804837534.365
33,1698804855422,1.086,0.0,0,0,COMMIT,246978,1698804855420.914
34,1698804925073,1.311,0.0,0,0,COMMIT,246985,1698804925071.689
35,1698805020248,1.863,0.0,0,0,COMMIT,246996,1698805020246.137
36,1698805082282,1.014,0.0,0,0,COMMIT,246999,1698805082280.986
37,1698805102162,1.006,0.0,0,0,COMMIT,246993,1698805102160.994
38,1698805113354,1.551,0.094,1,390,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 9\
              AND OL_O_ID < 44991\
              AND OL_O_ID >= 44971\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",247001,1698805113352.449
39,1698805125762,1.225,0.0,0,0,COMMIT,247000,1698805125760.775
40,1698805213503,1.092,0.0,0,0,COMMIT,247005,1698805213501.908
41,1698805269509,1.003,0.0,0,0,COMMIT,247004,1698805269507.997
42,1698805314774,1.727,0.09,1,418,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 7\
              AND OL_O_ID < 44703\
              AND OL_O_ID >= 44683\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",247011,1698805314772.273
43,1698805394203,1.104,0.0,0,0,COMMIT,247016,1698805394201.896
44,1698805414289,1.247,0.0,0,0,COMMIT,247008,1698805414287.753
45,1698804454376,1.152,0.0,0,0,COMMIT,247006,1698804454374.848
46,1698804479751,1.026,0.0,0,0,COMMIT,247014,1698804479749.974
47,1698804490516,1.06,0.0,0,0,COMMIT,247020,1698804490514.94
48,1698804525390,1.14,0.0,0,0,COMMIT,247015,1698804525388.86
51,1698804594494,1.227,0.0,0,0,COMMIT,247018,1698804594492.773
52,1698804597315,2.374,0.0,0,0,COMMIT,247017,1698804597312.626
55,1698804610287,1.008,0.0,0,0,COMMIT,247019,1698804610285.992
57,1698804656243,1.022,0.0,0,0,COMMIT,247023,1698804656241.978
58,1698804689173,1.169,0.0,0,0,COMMIT,247030,1698804689171.831
59,1698804699081,1.036,0.0,0,0,COMMIT,247022,1698804699079.964
60,1698804714911,1.226,0.0,0,0,COMMIT,247021,1698804714909.774
61,1698804725270,1.092,0.053,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (44971, '09', 1, 8, 91253, 1, '2023-11-01 10:07:25.128139', 8, 750.08, 'flG1go1Nb0hsYLvah0FDufwh')",247026,1698804725268.908
62,1698804759835,1.019,0.0,0,0,COMMIT,247029,1698804759833.981
63,1698804812029,1.077,0.0,0,0,COMMIT,247028,1698804812027.923
64,1698805005076,1.018,0.0,0,0,COMMIT,247042,1698805005074.982
65,1698805181926,1.496,0.092,1,406,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 10\
              AND OL_O_ID < 44805\
              AND OL_O_ID >= 44785\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",247051,1698805181924.504
66,1698805214453,1.191,0.0,0,0,COMMIT,247048,1698805214451.809
67,1698805317967,1.017,0.0,0,0,COMMIT,247046,1698805317965.983
68,1698805341193,1.144,0.0,0,0,COMMIT,247058,1698805341191.856
69,1698805384465,1.572,0.106,1,378,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 9\
              AND OL_O_ID < 44973\
              AND OL_O_ID >= 44953\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",247061,1698805384463.428
70,1698805404737,1.66,0.0,0,0,COMMIT,247060,1698805404735.34
76,1698804624236,2.017,0.089,1,372,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 5\
              AND OL_O_ID < 44968\
              AND OL_O_ID >= 44948\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",247073,1698804624233.983
77,1698804640094,1.006,0.0,0,0,COMMIT,247071,1698804640092.994
78,1698805001319,1.417,0.078,1,368,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 6\
              AND OL_O_ID < 45147\
              AND OL_O_ID >= 45127\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",247083,1698805001317.583
79,1698805226649,1.452,0.0,0,0,COMMIT,247093,1698805226647.548
80,1698805263755,1.01,0.0,0,0,COMMIT,247084,1698805263753.99
81,1698805264452,1.401,0.0,0,0,COMMIT,247092,1698805264450.599
82,1698805311021,1.023,0.0,0,0,COMMIT,247088,1698805311019.977
83,1698805373596,1.074,0.0,0,0,COMMIT,247099,1698805373594.926
84,1698804449865,1.088,0.0,0,0,COMMIT,247102,1698804449863.912
89,1698804628995,1.107,0.0,0,0,COMMIT,247105,1698804628993.893
91,1698804692684,1.03,0.0,0,0,COMMIT,247097,1698804692682.97
92,1698804704264,1.004,0.0,0,0,COMMIT,247116,1698804704262.996
93,1698804757217,1.268,0.0,0,0,COMMIT,247118,1698804757215.732
94,1698804808373,1.075,0.0,0,0,ROLLBACK,247103,1698804808371.925
95,1698804851043,1.027,0.0,0,0,COMMIT,247121,1698804851041.973
96,1698804864648,1.61,0.088,1,484,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 2\
              AND OL_O_ID < 45195\
              AND OL_O_ID >= 45175\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",247123,1698804864646.39
