,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1698825606236,1.33,0.0,0,0,COMMIT,375817,1698825606234.67
4,1698825678042,1.622,0.0,0,0,COMMIT,375820,1698825678040.378
5,1698825700231,1.203,0.0,0,0,COMMIT,375821,1698825700229.797
6,1698825733206,1.136,0.0,0,0,COMMIT,375816,1698825733204.864
7,1698825744682,1.024,0.0,0,0,COMMIT,375819,1698825744680.976
8,1698825863766,1.099,0.0,0,0,COMMIT,375823,1698825863764.901
9,1698824998557,1.198,0.0,0,0,COMMIT,375832,1698824998555.802
10,1698825043407,1.028,0.0,0,0,COMMIT,375835,1698825043405.972
15,1698825121956,1.088,0.0,0,0,COMMIT,375830,1698825121954.912
17,1698825187725,1.01,0.0,0,0,COMMIT,375836,1698825187723.99
18,1698825203782,1.034,0.0,0,0,COMMIT,375831,1698825203780.966
19,1698825337666,1.236,0.0,0,0,COMMIT,375842,1698825337664.764
20,1698825338343,1.216,0.0,0,0,COMMIT,375843,1698825338341.784
21,1698825572638,1.135,0.0,0,0,COMMIT,375857,1698825572636.865
22,1698825573258,1.395,0.0,0,0,COMMIT,375863,1698825573256.605
23,1698825624802,1.13,0.0,0,0,COMMIT,375854,1698825624800.87
24,1698825703620,1.115,0.0,0,0,COMMIT,375860,1698825703618.885
25,1698825718077,1.042,0.0,0,0,COMMIT,375870,1698825718075.958
26,1698825730274,1.82,0.0,0,0,COMMIT,375858,1698825730272.18
27,1698825730932,2.18,0.0,0,0,COMMIT,375861,1698825730929.82
28,1698825784928,1.08,0.0,0,0,COMMIT,375874,1698825784926.92
29,1698825018207,1.032,0.0,0,0,COMMIT,375876,1698825018205.968
30,1698825051022,2.165,0.074,1,380,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 6\
              AND OL_O_ID < 45965\
              AND OL_O_ID >= 45945\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",375882,1698825051019.835
31,1698825085744,1.12,0.0,0,0,COMMIT,375877,1698825085742.88
37,1698825247879,1.347,0.0,0,0,COMMIT,375889,1698825247877.653
38,1698825410551,1.074,0.0,0,0,COMMIT,375898,1698825410549.926
39,1698825473828,1.019,0.0,0,0,COMMIT,375884,1698825473826.981
40,1698825495378,1.49,0.088,1,386,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 10\
              AND OL_O_ID < 45778\
              AND OL_O_ID >= 45758\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",375905,1698825495376.51
41,1698825558956,1.048,0.0,0,0,COMMIT,375890,1698825558954.952
42,1698825733494,1.928,0.072,1,424,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 9\
              AND OL_O_ID < 46068\
              AND OL_O_ID >= 46048\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",375919,1698825733492.072
43,1698825738246,1.176,0.0,0,0,COMMIT,375917,1698825738244.824
44,1698825823494,1.162,0.0,0,0,COMMIT,375902,1698825823492.838
45,1698824967813,1.027,0.0,0,0,COMMIT,375926,1698824967811.973
46,1698825018227,1.025,0.0,0,0,COMMIT,375929,1698825018225.975
47,1698825032268,1.102,0.0,0,0,COMMIT,375932,1698825032266.898
53,1698825129385,1.291,0.0,0,0,COMMIT,375937,1698825129383.709
55,1698825139469,1.19,0.0,0,0,COMMIT,375924,1698825139467.81
56,1698825163789,1.236,0.0,0,0,COMMIT,375939,1698825163787.764
57,1698825221658,1.081,0.0,0,0,COMMIT,375941,1698825221656.919
58,1698825313263,1.086,0.0,0,0,COMMIT,375931,1698825313261.914
59,1698825332272,1.012,0.0,0,0,COMMIT,375936,1698825332270.988
60,1698825347849,1.391,0.0,0,0,COMMIT,375930,1698825347847.609
61,1698825370585,1.052,0.0,0,0,COMMIT,375928,1698825370583.948
62,1698825490352,1.131,0.0,0,0,COMMIT,375942,1698825490350.869
63,1698825618617,1.159,0.0,0,0,COMMIT,375958,1698825618615.841
64,1698825647752,1.078,0.06,0,0,"INSERT INTO history VALUES (284, 9, 1, 9, 1, '2023-11-01 15:49:13.652460', 4529.47e0, 'loXqSbK7Q    u3M7bSDMr')",375960,1698825647750.922
65,1698825684587,1.013,0.0,0,0,COMMIT,375955,1698825684585.987
66,1698825685793,4.264,0.054,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (46146, '05', 1, 5, 7071, 1, '2023-11-01 15:49:13.513763', 9, 653.58, 'gZeApwAQZj0DHrKKhKT5ELCZ')",375953,1698825685788.736
67,1698825758686,1.086,0.0,0,0,COMMIT,375947,1698825758684.914
68,1698825786056,1.073,0.0,0,0,COMMIT,375957,1698825786054.927
69,1698825845188,1.033,0.0,0,0,COMMIT,375953,1698825845186.967
70,1698825847760,1.204,0.0,0,0,ROLLBACK,375965,1698825847758.796
71,1698825015645,1.064,0.0,0,0,COMMIT,375961,1698825015643.936
72,1698825021169,1.008,0.0,0,0,COMMIT,375978,1698825021167.992
73,1698825048975,1.021,0.0,0,0,COMMIT,375969,1698825048973.979
79,1698825161244,1.067,0.0,0,0,COMMIT,375976,1698825161242.933
80,1698825232664,1.29,0.0,0,0,COMMIT,375984,1698825232662.71
81,1698825548003,1.237,0.071,1,398,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 6\
              AND OL_O_ID < 45895\
              AND OL_O_ID >= 45875\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",376001,1698825548001.763
82,1698825592912,1.011,0.0,0,0,ROLLBACK,375977,1698825592910.989
83,1698825700622,1.425,0.082,1,374,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 1\
              AND OL_O_ID < 46023\
              AND OL_O_ID >= 46003\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",376007,1698825700620.575
84,1698825724639,1.448,0.0,0,0,COMMIT,375979,1698825724637.552
85,1698825816023,1.012,0.0,0,0,COMMIT,376011,1698825816021.988
