Avg Threads Running,1,1,1.3,2,2.4,3.0999999999999996,4.1,4.444444444444445,4.875,5.428571428571429,6.166666666666667,9.5,10.6,11.25,13.333333333333334,16,21,21,21,21,38,55,55,55,55,55,55,55,55,55,43,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,18,60,67.5,82,96.5,111.6,128,145.57142857142856,159.25,169.88888888888889,178.4,198,216.00000000000003,230.39999999999998,241.3,248.6,252.8,251.5,250.99999999999997,251,251,250.9,250.9,250.44444444444446,250.625,251.42857142857144,251.33333333333331,254,255,255,255,255,24,24,24,24,24,24,24,32,32,32,40,42,42,42,42,42,42,44
Peak Threads Connected,1,1,4,8,8,8,11,11,11,11,11,21,21,21,21,21,21,21,21,21,55,55,55,55,55,55,55,55,55,55,43,43,43,43,43,43,43,43,43,43,18,60,75,111,140,172,210,251,255,255,255,256,256,256,256,256,256,256,256,256,256,255,255,255,255,255,255,255,255,255,255,255,24,24,24,24,24,24,24,40,40,40,40,44,44,44,44,44,44,44
Peak Threads Running,1,1,1,1,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,28,28,28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,25,25,8,41,63,105,135,168,210,249,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,255,255,255,255,255,255,255,255,255,7,7,7,7,7,7,7,20,20,20,20,33,33,33,33,33,33,33
Questions,38.55555555555556,37.111111111111114,47.111111111111114,197.33333333333334,336.44444444444446,483.11111111111114,621,598.15125,599.3069714285714,603.4849333333333,611.7860400000001,1266.6001551934373,1252.2129410297966,1036.5113374163225,939.8671607706361,1218.8807010555665,1179.2086889061288,239.6644351464435,198.2,198.2,198.2,198.2,198.2,198.2,198.2,165.85774058577405,237.29170081967214,277.47620375063354,302.3809042970941,342.8524332661799,377.4978414805874,419.4356486908949,420.63922064881035,415.7041737234978,399.17511983056517,313.1739855475264,273.72749499888863,262.22222222222223,252.8888888888889,252.8888888888889,251.11111111111114,277.11111111111114,328.22222222222223,341.6666666666667,320.22222222222223,292.11111111111114,283.33333333333337,232.255125,190.00557142857141,144.46996666666666,109.17924000000001,55.34845,38.876133333333335,37.7568,40.2256,1194.7811207757022,1194.7811207757022,1194.7811207757022,764.9371364653244,1119.0653740989314,1119.0653740989314,1119.0653740989314,806.9020879940343,694.9955505841411
Threads Created,0,0,0,0,0,0,0.22222222222222224,0.21555,0.21777142857142856,0.2207333333333333,0.22488000000000002,2.882163839929054,3.2414910858995136,3.0785120827992207,3.302682278691247,4.779924317864967,7.203812479219772,0.24184100418410043,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16736401673640167,3.3522540983606555,8.469969589457678,11.551301469763265,14.94174326366155,19.021703882518604,23.377170211578182,23.229151382257104,22.749396248902272,21.62523687437298,20.233463035019458,17.448321849299845,15.444444444444446,13.444444444444446,11.555555555555555,9.444444444444445,10.222222222222223,13.333333333333334,13.88888888888889,13.666666666666668,12.444444444444446,12,10.130849999999999,7.948657142857142,5.628699999999999,4.4976,1.3866,0.8451333333333334,0.9177,1.1354,4.135177527449024,4.135177527449024,4.135177527449024,2.3787472035794184,3.4799900571712654,3.4799900571712654,3.4799900571712654,2.509246830723341,2.1612478250062144
Created Tmp Disk Tables,9.11111111111111,8.777777777777779,9.11111111111111,8.88888888888889,9,9.11111111111111,9.11111111111111,7.8675749999999995,6.8598,6.070166666666666,5.28468,8.979048885932823,9.225782321406308,7.577875896121159,6.986443281846869,8.962358095996814,8.977058627950793,2.1765690376569036,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.506276150627615,2.1550204918032785,3.387987835783071,4.532789184337484,5.653632586250316,6.7661094347213835,7.628339753251828,8.501390454331208,9.263929400326184,9.69791550551778,9.894385769872152,9.557679484329851,9.444444444444445,9.11111111111111,9,8.777777777777779,8.777777777777779,9,9.222222222222223,8.88888888888889,9,9,7.8675749999999995,6.8598,6.180533333333333,5.28468,4.27535,3.2598,2.4909,1.6219999999999999,8.983316697561673,8.983316697561673,8.983316697561673,5.776957494407159,8.451404424558788,8.451404424558788,8.451404424558788,6.093885160328114,5.248744717872235
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.11111111111111112,1,2.4444444444444446,6.111111111111112,9.88888888888889,9.591975,9.690828571428572,9.822633333333332,10.00716,21.283671433322247,22.93978306944271,20.24713715994872,17.529621325361234,20.713005377414856,20.613986478998115,1.9347280334728034,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.3389121338912133,3.1128073770491804,4.4043841865179925,3.8016941546056318,3.9036986905061704,4.595847917923958,5.0445472561826605,4.909253642641966,4.807862093840171,4.570282019841712,3.1128404669260705,1.7781729273171816,1.8888888888888888,1.8888888888888888,1.2222222222222223,0.888888888888889,1.1111111111111112,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.5555555555555558,1.5555555555555558,1.185525,1.0888571428571427,0.8829333333333332,0.67464,0.11555,0.12073333333333333,0.1311,0.16219999999999998,21.81662626550692,21.81662626550692,21.81662626550692,8.835346756152125,12.925677355207558,12.925677355207558,12.925677355207558,9.32005965697241,8.027491921451652
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.555555555555554,28.333333333333336,28.111111111111114,28.77777777777778,29.111111111111114,29.555555555555554,29.333333333333336,25.21935,21.66825714285714,18.983066666666666,16.97844,30.373572774636955,30.66949258197232,25.10171390590134,23.11877595083873,30.67118103963354,28.482766263992023,7.255230125523012,6,6,6,6,6,6,6,5.02092050209205,6.9439549180327855,11.857957425240748,14.183243576797935,16.153235960715186,20.04300341983504,23.623245687489533,25.983122937885526,28.143582988332707,29.651097982387693,30.35019455252918,29.339853300733495,28.666666666666668,29.888888888888893,29.333333333333336,27.666666666666668,28,28.888888888888893,30.111111111111114,28.888888888888893,28.888888888888893,30,25.4349,22.212685714285712,20.307466666666663,17.540640000000003,14.44375,10.624533333333334,8.2593,5.0282,30.22957364893769,30.22957364893769,30.22957364893769,18.010514541387025,26.348496147153867,26.348496147153867,26.348496147153867,18.998583146905297,16.363733532189908
Sort Rows,155.55555555555557,124.44444444444446,155.55555555555557,140,140,155.55555555555557,155.55555555555557,120.708,106.708,92.708,94.4496,139.67409378117725,157.08764493205337,116.03622465935526,106.70204285002492,139.41445927106153,139.64313421256787,33.85774058577406,28,28,28,28,28,28,28,23.430962343096233,0,48.61762544348707,41.96485470660832,58.01703915890205,91.78929591631461,106.18156785574722,120.5760589790356,118.08578362187932,128.30230743506854,159.97776542523624,144.0320071126917,160,160,144,128,128,144,160,128,128,144,124.1568,109.7568,111.24959999999999,97.14816,83.196,52.1568,56.6352,46.7136,143.73306716098676,143.73306716098676,143.73306716098676,73.40134228187921,107.38255033557047,107.38255033557047,107.38255033557047,77.4281879194631,66.68993288590605
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
