,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1695016430159,1.415,0.0,0,0,COMMIT,54922,1695016430157.585
4,1695016472202,3.896,0.078,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (26384, '01', 2, 8, 62262, 2, '2023-09-18 13:43:39.527385', 5, 185.20, '8884Q0HMPd7j074vuyMlYScp')",54920,1695016472198.104
5,1695016472252,2.412,0.051,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (26183, 10, 1, 7, 53082, 1, '2023-09-18 13:43:39.541437', 10, 68.80, 'HsJSFfVdTGPheKgc4L8GFT5r')",54921,1695016472249.588
6,1695016476612,1.303,0.0,0,0,COMMIT,54921,1695016476610.697
7,1695016490217,1.512,0.101,1,334,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 3\
              AND OL_O_ID < 26334\
              AND OL_O_ID >= 26314\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",54925,1695016490215.488
8,1695016531482,1.066,0.0,0,0,COMMIT,54926,1695016531480.934
9,1695016580230,1.177,0.0,0,0,COMMIT,54927,1695016580228.823
10,1695016624833,1.05,0.0,0,0,COMMIT,54928,1695016624831.95
11,1695016690558,1.13,0.0,0,0,COMMIT,54930,1695016690556.87
12,1695016745899,1.069,0.0,0,0,COMMIT,54933,1695016745897.931
13,1695016792346,1.046,0.0,0,0,COMMIT,54934,1695016792344.954
14,1695015856587,1.382,0.0,0,0,COMMIT,54929,1695015856585.618
15,1695015872356,1.203,0.0,0,0,COMMIT,54938,1695015872354.797
20,1695016013773,1.084,0.0,0,0,COMMIT,54940,1695016013771.916
21,1695016025358,1.324,0.0,0,0,COMMIT,54941,1695016025356.676
22,1695016048418,2.032,0.094,1,436,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 9\
              AND OL_O_ID < 26205\
              AND OL_O_ID >= 26185\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",54947,1695016048415.968
23,1695016088055,1.17,0.0,0,0,COMMIT,54949,1695016088053.83
24,1695016155096,1.176,0.0,0,0,COMMIT,54952,1695016155094.824
25,1695016194151,1.012,0.0,0,0,COMMIT,54955,1695016194149.988
26,1695016239207,1.071,0.0,0,0,COMMIT,54950,1695016239205.929
27,1695016282724,1.7,0.07,1,432,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 5\
              AND OL_O_ID < 26594\
              AND OL_O_ID >= 26574\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",54958,1695016282722.3
28,1695016328454,1.137,0.0,0,0,COMMIT,54960,1695016328452.863
29,1695016352846,1.059,0.0,0,0,COMMIT,54957,1695016352844.941
30,1695016353485,1.17,0.0,0,0,COMMIT,54953,1695016353483.83
31,1695016399599,1.053,0.0,0,0,COMMIT,54961,1695016399597.947
32,1695016685849,1.033,0.0,0,0,COMMIT,54969,1695016685847.967
33,1695016733106,1.041,0.0,0,0,COMMIT,54977,1695016733104.959
34,1695016743497,1.019,0.0,0,0,COMMIT,54970,1695016743495.981
35,1695015943709,1.057,0.0,0,0,COMMIT,54984,1695015943707.943
