,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1695015271449,1.732,0.0,0,0,COMMIT,36768,1695015271447.268
5,1695015299316,1.221,0.0,0,0,COMMIT,36765,1695015299314.779
6,1695015319429,1.199,0.0,0,0,COMMIT,36766,1695015319427.801
7,1695015336326,1.219,0.0,0,0,COMMIT,36769,1695015336324.781
8,1695015358186,1.055,0.0,0,0,COMMIT,36771,1695015358184.945
9,1695015392036,1.305,0.0,0,0,COMMIT,36763,1695015392034.695
10,1695015467706,1.006,0.0,0,0,COMMIT,36767,1695015467704.994
11,1695015493254,1.061,0.0,0,0,COMMIT,36772,1695015493252.939
12,1695015618921,1.073,0.0,0,0,COMMIT,36780,1695015618919.927
13,1695015749450,1.046,0.0,0,0,COMMIT,36784,1695015749448.954
14,1695014838069,1.02,0.0,0,0,COMMIT,36782,1695014838067.98
15,1695014923335,1.148,0.0,0,0,COMMIT,36792,1695014923333.852
19,1695014967233,1.129,0.0,0,0,COMMIT,36793,1695014967231.871
20,1695014987654,1.087,0.0,0,0,COMMIT,36781,1695014987652.913
22,1695015017481,1.116,0.0,0,0,COMMIT,36786,1695015017479.884
23,1695015113519,1.678,0.0,0,0,COMMIT,36785,1695015113517.322
24,1695015127103,1.182,0.0,0,0,COMMIT,36783,1695015127101.818
25,1695015177933,1.039,0.0,0,0,COMMIT,36790,1695015177931.961
26,1695015196262,1.013,0.0,0,0,COMMIT,36796,1695015196260.987
27,1695015272905,1.131,0.0,0,0,COMMIT,36804,1695015272903.869
28,1695015306657,1.079,0.0,0,0,COMMIT,36799,1695015306655.921
29,1695015376133,1.067,0.0,0,0,COMMIT,36807,1695015376131.933
30,1695015412522,1.128,0.054,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (26227, '07', 1, 10, 7458, 1, '2023-09-18 13:26:57.299242', 2, 145.76, 'Nj26cDbKzUaFTHiPq8yxW1uT')",36801,1695015412520.872
31,1695015513103,1.589,0.11,1,390,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 1\
              AND OL_O_ID < 26171\
              AND OL_O_ID >= 26151\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",36812,1695015513101.411
32,1695015566913,1.158,0.0,0,0,COMMIT,36813,1695015566911.842
33,1695015624011,1.083,0.0,0,0,COMMIT,36803,1695015624009.917
34,1695015766013,1.099,0.0,0,0,COMMIT,36824,1695015766011.901
36,1695014954671,1.116,0.0,0,0,COMMIT,36819,1695014954669.884
40,1695015005326,1.025,0.0,0,0,ROLLBACK,36831,1695015005324.975
41,1695015218535,1.129,0.0,0,0,COMMIT,36829,1695015218533.871
42,1695015219146,1.514,0.0,0,0,COMMIT,36844,1695015219144.486
43,1695015345563,1.422,0.102,1,384,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 8\
              AND OL_O_ID < 26285\
              AND OL_O_ID >= 26265\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",36851,1695015345561.578
44,1695015405238,1.117,0.0,0,0,COMMIT,36849,1695015405236.883
45,1695015526779,1.013,0.0,0,0,COMMIT,36855,1695015526777.987
