,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1698659315430,1.148,0.0,0,0,COMMIT,213005,1698659315428.852
4,1698659442579,1.015,0.0,0,0,COMMIT,213011,1698659442577.985
5,1698659669891,1.131,0.0,0,0,COMMIT,213014,1698659669889.869
6,1698659756353,1.015,0.0,0,0,COMMIT,213019,1698659756351.985
7,1698659769944,1.667,0.092,1,352,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 2\
              AND OL_O_ID < 42637\
              AND OL_O_ID >= 42617\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",213024,1698659769942.333
8,1698659827714,1.038,0.0,0,0,COMMIT,213020,1698659827712.962
9,1698658925798,1.109,0.0,0,0,COMMIT,213028,1698658925796.891
11,1698659062524,1.015,0.0,0,0,COMMIT,213034,1698659062522.985
15,1698659121789,1.016,0.0,0,0,COMMIT,213023,1698659121787.984
16,1698659162363,1.235,0.0,0,0,COMMIT,213039,1698659162361.765
17,1698659212477,1.405,0.0,0,0,COMMIT,213041,1698659212475.595
18,1698659241814,1.041,0.0,0,0,COMMIT,213042,1698659241812.959
19,1698659292650,1.006,0.0,0,0,COMMIT,213031,1698659292648.994
20,1698659326076,1.107,0.0,0,0,COMMIT,213032,1698659326074.893
21,1698659329413,1.08,0.0,0,0,COMMIT,213045,1698659329411.92
22,1698659462413,1.119,0.0,0,0,COMMIT,213051,1698659462411.881
23,1698659478686,1.015,0.0,0,0,COMMIT,213053,1698659478684.985
24,1698659479284,1.116,0.0,0,0,COMMIT,213052,1698659479282.884
25,1698659511229,1.046,0.0,0,0,COMMIT,213054,1698659511227.954
26,1698659511918,1.162,0.0,0,0,COMMIT,213038,1698659511916.838
27,1698659575062,1.093,0.0,0,0,COMMIT,213050,1698659575060.907
28,1698659587921,1.109,0.0,0,0,ROLLBACK,213056,1698659587919.891
29,1698659608586,1.014,0.0,0,0,COMMIT,213059,1698659608584.986
30,1698659630851,1.086,0.0,0,0,COMMIT,213043,1698659630849.914
31,1698659671639,1.048,0.0,0,0,COMMIT,213048,1698659671637.952
32,1698659731492,1.186,0.0,0,0,COMMIT,213049,1698659731490.814
33,1698659743085,1.249,0.083,1,410,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 10\
              AND OL_O_ID < 42945\
              AND OL_O_ID >= 42925\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",213067,1698659743083.751
34,1698659806047,1.067,0.0,0,0,COMMIT,213066,1698659806045.933
35,1698659830725,1.197,0.0,0,0,COMMIT,213068,1698659830723.803
36,1698659850572,1.034,0.0,0,0,COMMIT,213065,1698659850570.966
37,1698659014799,1.263,0.0,0,0,COMMIT,213062,1698659014797.737
41,1698659079436,1.283,0.0,0,0,COMMIT,213077,1698659079434.717
43,1698659130623,1.315,0.0,0,0,COMMIT,213080,1698659130621.685
44,1698659159268,1.085,0.0,0,0,COMMIT,213082,1698659159266.915
45,1698659200774,2.208,0.0,0,0,COMMIT,213084,1698659200771.792
46,1698659235327,2.239,0.0,0,0,COMMIT,213085,1698659235324.761
47,1698659292505,1.104,0.0,0,0,COMMIT,213078,1698659292503.896
48,1698659294093,1.13,0.0,0,0,COMMIT,213087,1698659294091.87
49,1698659314274,1.061,0.0,0,0,COMMIT,213072,1698659314272.939
50,1698659355406,1.04,0.0,0,0,COMMIT,213089,1698659355404.96
51,1698659386525,1.277,0.0,0,0,COMMIT,213083,1698659386523.723
52,1698659524857,1.063,0.0,0,0,COMMIT,213086,1698659524855.937
53,1698659559876,1.08,0.0,0,0,COMMIT,213097,1698659559874.92
54,1698659647123,1.221,0.0,0,0,COMMIT,213094,1698659647121.779
55,1698659678363,1.345,0.0,0,0,COMMIT,213098,1698659678361.655
56,1698659730632,1.216,0.0,0,0,COMMIT,213106,1698659730630.784
57,1698659791811,1.159,0.0,0,0,COMMIT,213108,1698659791809.841
58,1698659903369,1.006,0.0,0,0,COMMIT,213112,1698659903367.994
59,1698658952863,1.015,0.0,0,0,COMMIT,213111,1698658952861.985
65,1698659107350,1.072,0.0,0,0,COMMIT,213121,1698659107348.928
66,1698659138834,1.015,0.0,0,0,COMMIT,213124,1698659138832.985
67,1698659196755,1.163,0.0,0,0,COMMIT,213117,1698659196753.837
68,1698659207460,1.16,0.0,0,0,COMMIT,213119,1698659207458.84
69,1698659243293,1.072,0.0,0,0,COMMIT,213127,1698659243291.928
70,1698659304241,1.138,0.0,0,0,COMMIT,213131,1698659304239.862
71,1698659440817,1.069,0.0,0,0,COMMIT,213133,1698659440815.931
72,1698659485753,1.029,0.0,0,0,COMMIT,213140,1698659485751.971
73,1698659533520,1.175,0.0,0,0,COMMIT,213132,1698659533518.825
74,1698659559225,1.115,0.0,0,0,COMMIT,213137,1698659559223.885
75,1698659738042,1.006,0.0,0,0,COMMIT,213152,1698659738040.994
76,1698659888180,1.099,0.0,0,0,COMMIT,213156,1698659888178.901
77,1698659015483,1.011,0.0,0,0,COMMIT,213162,1698659015481.989
80,1698659073232,1.231,0.0,0,0,COMMIT,213157,1698659073230.769
84,1698659114535,1.045,0.0,0,0,COMMIT,213166,1698659114533.955
85,1698659175062,1.278,0.0,0,0,COMMIT,213169,1698659175060.722
86,1698659201471,2.883,0.0,0,0,COMMIT,213170,1698659201468.117
87,1698659219071,1.448,0.0,0,0,COMMIT,213161,1698659219069.552
88,1698659260375,1.128,0.0,0,0,COMMIT,213168,1698659260373.872
89,1698659278219,1.006,0.0,0,0,COMMIT,213163,1698659278217.994
90,1698659299251,1.149,0.0,0,0,COMMIT,213175,1698659299249.851
91,1698659422218,1.312,0.0,0,0,COMMIT,213171,1698659422216.688
92,1698659423008,1.942,0.0,0,0,COMMIT,213180,1698659423006.058
93,1698659714754,1.059,0.0,0,0,COMMIT,213188,1698659714752.941
94,1698659823249,1.27,0.0,0,0,COMMIT,213196,1698659823247.73
95,1698659853282,1.054,0.0,0,0,COMMIT,213197,1698659853280.946
96,1698658978234,1.008,0.0,0,0,COMMIT,213193,1698658978232.992
99,1698659081589,1.303,0.0,0,0,COMMIT,213191,1698659081587.697
