,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1698714271374,1.505,0.0,0,0,COMMIT,405434,1698714271372.495
4,1698714399666,1.128,0.0,0,0,COMMIT,405439,1698714399664.872
5,1698714460555,1.199,0.0,0,0,COMMIT,405438,1698714460553.801
6,1698714481593,1.023,0.0,0,0,COMMIT,405436,1698714481591.977
7,1698714501245,1.088,0.0,0,0,COMMIT,405437,1698714501243.912
8,1698714566896,1.107,0.0,0,0,COMMIT,405441,1698714566894.893
9,1698714586976,1.139,0.0,0,0,COMMIT,405445,1698714586974.861
10,1698714832690,1.597,0.081,1,406,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 6\
              AND OL_O_ID < 43778\
              AND OL_O_ID >= 43758\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",405456,1698714832688.403
11,1698713971909,3.191,0.0,0,0,COMMIT,405461,1698713971905.809
15,1698714029917,1.129,0.0,0,0,COMMIT,405460,1698714029915.871
17,1698714039752,1.813,0.069,1,414,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 9\
              AND OL_O_ID < 43709\
              AND OL_O_ID >= 43689\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",405467,1698714039750.187
19,1698714049622,1.333,0.0,0,0,COMMIT,405459,1698714049620.667
20,1698714079074,1.777,0.092,1,408,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 8\
              AND OL_O_ID < 43989\
              AND OL_O_ID >= 43969\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",405469,1698714079072.223
21,1698714188157,1.145,0.0,0,0,COMMIT,405466,1698714188155.855
22,1698714200383,1.01,0.0,0,0,COMMIT,405473,1698714200381.99
23,1698714225166,1.067,0.0,0,0,COMMIT,405474,1698714225164.933
24,1698714259176,1.155,0.0,0,0,COMMIT,405468,1698714259174.845
25,1698714332260,1.036,0.0,0,0,COMMIT,405478,1698714332258.964
26,1698714388084,1.189,0.0,0,0,COMMIT,405480,1698714388082.811
27,1698714534325,1.024,0.0,0,0,COMMIT,405488,1698714534323.976
28,1698714662146,1.077,0.0,0,0,COMMIT,405489,1698714662144.923
29,1698714697425,1.01,0.0,0,0,COMMIT,405497,1698714697423.99
30,1698714804139,1.076,0.0,0,0,COMMIT,405505,1698714804137.924
31,1698713920658,1.033,0.0,0,0,COMMIT,405510,1698713920656.967
33,1698713998234,2.626,0.0,0,0,COMMIT,405513,1698713998231.374
38,1698714235330,1.023,0.0,0,0,COMMIT,405522,1698714235328.977
39,1698714331835,1.098,0.0,0,0,COMMIT,405526,1698714331833.902
40,1698714444739,1.009,0.0,0,0,COMMIT,405530,1698714444737.991
