,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1695006496354,1.251,0.0,0,0,COMMIT,65475,1695006496352.749
4,1695006533740,1.059,0.0,0,0,COMMIT,65476,1695006533738.941
5,1695006576647,1.238,0.0,0,0,COMMIT,65479,1695006576645.762
6,1695006608315,1.119,0.0,0,0,COMMIT,65480,1695006608313.881
7,1695006769987,1.224,0.0,0,0,COMMIT,65487,1695006769985.776
8,1695006783504,2.486,0.086,55,55,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_BALANCE FROM customer WHERE C_W_ID = 1 AND C_D_ID = 6 AND C_LAST = 'ABLECALLYEING' ORDER BY C_FIRST",65489,1695006783501.514
9,1695006854985,1.028,0.0,0,0,COMMIT,65490,1695006854983.972
10,1695006884025,1.01,0.0,0,0,COMMIT,65492,1695006884023.99
11,1695006956062,1.14,0.0,0,0,COMMIT,65494,1695006956060.86
12,1695006989115,1.273,0.136,13,13,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 2 AND C_D_ID = 10 AND C_LAST = 'CALLYEINGBAR' ORDER BY C_FIRST",65497,1695006989113.727
13,1695007014058,1.055,0.0,0,0,COMMIT,65497,1695007014056.945
14,1695007093562,1.025,0.0,0,0,COMMIT,65498,1695007093560.975
15,1695007178286,1.097,0.0,0,0,COMMIT,65502,1695007178284.903
16,1695007210952,1.052,0.0,0,0,COMMIT,65500,1695007210950.948
17,1695006313451,1.737,0.088,1,426,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 1\
              AND OL_O_ID < 24901\
              AND OL_O_ID >= 24881\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",65508,1695006313449.263
18,1695006346895,1.015,0.0,0,0,COMMIT,65503,1695006346893.985
24,1695006503351,1.103,0.0,0,0,COMMIT,65507,1695006503349.897
25,1695006538543,1.089,0.0,0,0,COMMIT,65514,1695006538541.911
26,1695006606150,1.137,0.0,0,0,COMMIT,65513,1695006606148.863
27,1695006741876,1.015,0.0,0,0,COMMIT,65521,1695006741874.985
28,1695006776934,1.03,0.0,0,0,COMMIT,65525,1695006776932.97
29,1695006899278,1.034,0.0,0,0,COMMIT,65532,1695006899276.966
30,1695006982406,1.051,0.0,0,0,COMMIT,65535,1695006982404.949
