,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
2,1694852456770,1.187,0.0,0,0,COMMIT,6005,1694852456768.813
3,1694852509588,1.084,0.0,0,0,COMMIT,6008,1694852509586.916
4,1694852581606,1.203,0.0,0,0,COMMIT,6010,1694852581604.797
5,1694852626185,1.585,0.0,0,0,COMMIT,6012,1694852626183.415
6,1694852651348,1.043,0.0,0,0,COMMIT,6004,1694852651346.957
7,1694852671923,1.025,0.0,0,0,COMMIT,6014,1694852671921.975
8,1694852741226,1.144,0.0,0,0,COMMIT,6006,1694852741224.856
9,1694852791453,1.15,0.0,0,0,COMMIT,6018,1694852791451.85
10,1694852807315,1.118,0.0,0,0,COMMIT,6019,1694852807313.882
11,1694852833520,1.006,0.0,0,0,COMMIT,6011,1694852833518.994
12,1694852834251,1.02,0.0,0,0,COMMIT,6016,1694852834249.98
13,1694852939195,1.103,0.0,0,0,COMMIT,6026,1694852939193.897
14,1694852987966,1.014,0.0,0,0,COMMIT,6022,1694852987964.986
15,1694852065367,1.095,0.0,0,0,COMMIT,6023,1694852065365.905
18,1694852173973,2.874,0.0,0,0,COMMIT,6029,1694852173970.126
20,1694852354384,1.008,0.0,0,0,COMMIT,6035,1694852354382.992
21,1694852376770,1.109,0.0,0,0,COMMIT,6040,1694852376768.891
22,1694852380855,1.035,0.0,0,0,COMMIT,6044,1694852380853.965
23,1694852459330,1.07,0.0,0,0,COMMIT,6039,1694852459328.93
24,1694852573533,1.04,0.0,0,0,COMMIT,6051,1694852573531.96
25,1694852761649,1.013,0.0,0,0,COMMIT,6058,1694852761647.987
26,1694852862262,1.308,0.0,0,0,COMMIT,6063,1694852862260.692
27,1694852918555,1.089,0.0,0,0,COMMIT,6056,1694852918553.911
28,1694852933197,1.073,0.0,0,0,COMMIT,6062,1694852933195.927
29,1694852139022,1.15,0.0,0,0,COMMIT,6074,1694852139020.85
32,1694852174889,1.208,0.0,0,0,COMMIT,6067,1694852174887.792
35,1694852215436,1.241,0.0,0,0,COMMIT,6070,1694852215434.759
36,1694852250849,1.066,0.0,0,0,COMMIT,6069,1694852250847.934
37,1694852278770,1.022,0.0,0,0,ROLLBACK,6078,1694852278768.978
38,1694852307871,1.085,0.0,0,0,COMMIT,6079,1694852307869.915
39,1694852323977,1.135,0.0,0,0,COMMIT,6075,1694852323975.865
40,1694852377757,1.007,0.0,0,0,COMMIT,6085,1694852377755.993
41,1694852378642,1.588,0.0,0,0,COMMIT,6086,1694852378640.412
42,1694852404678,1.006,0.0,0,0,COMMIT,6087,1694852404676.994
43,1694852417194,1.006,0.0,0,0,COMMIT,6083,1694852417192.994
44,1694852467478,1.053,0.0,0,0,COMMIT,6084,1694852467476.947
45,1694852483224,1.546,0.084,1,396,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 6\
              AND OL_O_ID < 21587\
              AND OL_O_ID >= 21567\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",6090,1694852483222.454
46,1694852540726,1.188,0.0,0,0,ROLLBACK,6089,1694852540724.812
47,1694852581129,1.112,0.0,0,0,COMMIT,6091,1694852581127.888
48,1694852595894,1.077,0.0,0,0,COMMIT,6093,1694852595892.923
49,1694852716741,1.038,0.0,0,0,COMMIT,6097,1694852716739.962
50,1694852856349,1.15,0.0,0,0,COMMIT,6095,1694852856347.85
51,1694852048761,1.844,0.0,0,0,COMMIT,6102,1694852048759.156
52,1694852068386,1.004,0.0,0,0,COMMIT,6104,1694852068384.996
53,1694852112014,1.449,0.0,0,0,ROLLBACK,6111,1694852112012.551
56,1694852193845,1.558,0.0,0,0,COMMIT,6112,1694852193843.442
57,1694852322498,1.139,0.0,0,0,COMMIT,6120,1694852322496.861
58,1694852452713,1.044,0.0,0,0,COMMIT,6125,1694852452711.956
59,1694852476051,1.077,0.0,0,0,COMMIT,6127,1694852476049.923
60,1694852545932,1.474,0.103,1,418,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 6\
              AND OL_O_ID < 21616\
              AND OL_O_ID >= 21596\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",6130,1694852545930.526
61,1694852550703,1.012,0.0,0,0,COMMIT,6129,1694852550701.988
62,1694852594077,1.119,0.0,0,0,COMMIT,6131,1694852594075.881
63,1694852719532,1.183,0.076,1,1,"SELECT S_QUANTITY, S_DATA, S_YTD, S_ORDER_CNT, S_REMOTE_CNT, S_DIST_04 FROM stock WHERE S_I_ID = 42955 AND S_W_ID = 1",6134,1694852719530.817
64,1694852798217,1.187,0.0,0,0,COMMIT,6139,1694852798215.813
65,1694852031858,1.092,0.0,0,0,COMMIT,6146,1694852031856.908
66,1694852114120,1.032,0.0,0,0,COMMIT,6145,1694852114118.968
69,1694852175193,1.552,0.085,1,368,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 10\
              AND OL_O_ID < 21480\
              AND OL_O_ID >= 21460\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",6154,1694852175191.448
71,1694852353073,1.8,0.0,0,0,COMMIT,6152,1694852353071.2
72,1694852545962,1.263,0.0,0,0,COMMIT,6165,1694852545960.737
73,1694852569308,1.176,0.0,0,0,COMMIT,6162,1694852569306.824
74,1694852581592,1.095,0.0,0,0,COMMIT,6167,1694852581590.905
75,1694852706419,1.259,0.083,1,408,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 2\
              AND OL_O_ID < 21837\
              AND OL_O_ID >= 21817\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",6175,1694852706417.741
76,1694852847423,1.036,0.0,0,0,COMMIT,6163,1694852847421.964
77,1694852913546,1.148,0.0,0,0,COMMIT,6180,1694852913544.852
80,1694852165258,1.504,0.0,0,0,COMMIT,6181,1694852165256.496
83,1694852202104,2.551,0.0,0,0,COMMIT,6179,1694852202101.449
84,1694852250952,1.095,0.0,0,0,COMMIT,6177,1694852250950.905
85,1694852251573,1.577,0.0,0,0,COMMIT,6184,1694852251571.423
86,1694852456599,1.123,0.0,0,0,COMMIT,6198,1694852456597.877
87,1694852478725,1.071,0.0,0,0,COMMIT,6199,1694852478723.929
88,1694852507383,1.142,0.0,0,0,COMMIT,6200,1694852507381.858
89,1694852561871,1.196,0.0,0,0,COMMIT,6189,1694852561869.804
90,1694852828486,1.023,0.0,0,0,COMMIT,6207,1694852828484.977
91,1694852904104,1.128,0.0,0,0,COMMIT,6202,1694852904102.872
92,1694852957185,1.59,0.115,1,358,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 2\
              AND OL_O_ID < 21667\
              AND OL_O_ID >= 21647\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",6217,1694852957183.41
93,1694853011570,1.012,0.0,0,0,COMMIT,6218,1694853011568.988
94,1694852099936,1.073,0.0,0,0,COMMIT,6213,1694852099934.927
95,1694852100536,1.467,0.0,0,0,COMMIT,6214,1694852100534.533
99,1694852174530,1.061,0.0,0,0,COMMIT,6216,1694852174528.939
101,1694852313733,1.041,0.0,0,0,COMMIT,6228,1694852313731.959
102,1694852394367,1.557,0.087,1,432,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 4\
              AND OL_O_ID < 21879\
              AND OL_O_ID >= 21859\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",6234,1694852394365.443
103,1694852481046,1.032,0.0,0,0,COMMIT,6231,1694852481044.968
104,1694852532115,1.105,0.0,0,0,COMMIT,6235,1694852532113.895
105,1694852575147,1.116,0.0,0,0,COMMIT,6237,1694852575145.884
106,1694852612270,1.081,0.0,0,0,COMMIT,6242,1694852612268.919
107,1694852745020,1.003,0.0,0,0,COMMIT,6243,1694852745018.997
108,1694852084501,1.076,0.0,0,0,COMMIT,6259,1694852084499.924
109,1694852121371,1.209,0.0,0,0,COMMIT,6258,1694852121369.791
114,1694852259503,1.358,0.079,1,418,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 8\
              AND OL_O_ID < 21741\
              AND OL_O_ID >= 21721\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",6267,1694852259501.642
115,1694852261772,1.113,0.0,0,0,COMMIT,6257,1694852261770.887
116,1694852314021,1.431,0.0,0,0,COMMIT,6269,1694852314019.569
117,1694852355477,1.113,0.0,0,0,COMMIT,6264,1694852355475.887
118,1694852365355,1.032,0.0,0,0,COMMIT,6266,1694852365353.968
119,1694852392462,1.05,0.0,0,0,COMMIT,6273,1694852392460.95
120,1694852457707,1.13,0.0,0,0,COMMIT,6268,1694852457705.87
121,1694852504806,1.058,0.0,0,0,COMMIT,6276,1694852504804.942
122,1694852532473,1.02,0.0,0,0,COMMIT,6279,1694852532471.98
123,1694852562651,1.037,0.0,0,0,COMMIT,6278,1694852562649.963
124,1694852599075,1.162,0.0,0,0,COMMIT,6281,1694852599073.838
125,1694852620841,1.012,0.0,0,0,COMMIT,6282,1694852620839.988
126,1694852702581,1.069,0.0,0,0,COMMIT,6284,1694852702579.931
127,1694852839145,1.01,0.0,0,0,COMMIT,6285,1694852839143.99
128,1694852849151,1.031,0.0,0,0,COMMIT,6287,1694852849149.969
129,1694852920687,1.156,0.0,0,0,COMMIT,6286,1694852920685.844
130,1694852998456,1.035,0.0,0,0,COMMIT,6292,1694852998454.965
131,1694852032602,1.142,0.0,0,0,COMMIT,6291,1694852032600.858
132,1694852050211,1.968,0.089,1,430,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 7\
              AND OL_O_ID < 21669\
              AND OL_O_ID >= 21649\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",6304,1694852050209.032
133,1694852075175,1.013,0.0,0,0,COMMIT,6293,1694852075173.987
134,1694852159486,1.122,0.0,0,0,COMMIT,6305,1694852159484.878
136,1694852178217,3.972,0.0,0,0,COMMIT,6308,1694852178213.028
139,1694852303590,1.056,0.0,0,0,COMMIT,6315,1694852303588.944
140,1694852351175,1.309,0.0,0,0,COMMIT,6313,1694852351173.691
141,1694852482881,1.205,0.0,0,0,COMMIT,6317,1694852482879.795
142,1694852575686,1.258,0.0,0,0,COMMIT,6318,1694852575684.742
143,1694852799878,1.09,0.0,0,0,COMMIT,6329,1694852799876.91
144,1694852890106,1.088,0.0,0,0,COMMIT,6331,1694852890104.912
145,1694852959917,1.013,0.0,0,0,COMMIT,6339,1694852959915.987
146,1694852087959,1.233,0.0,0,0,COMMIT,6344,1694852087957.767
149,1694852188495,1.121,0.0,0,0,COMMIT,6348,1694852188493.879
152,1694852297692,1.295,0.0,0,0,COMMIT,6356,1694852297690.705
153,1694852322357,1.039,0.0,0,0,COMMIT,6337,1694852322355.961
154,1694852328558,1.245,0.102,1,388,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 5\
              AND OL_O_ID < 21844\
              AND OL_O_ID >= 21824\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",6358,1694852328556.755
155,1694852425068,1.299,0.077,1,394,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 3\
              AND OL_O_ID < 21945\
              AND OL_O_ID >= 21925\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",6361,1694852425066.701
156,1694852512308,1.059,0.0,0,0,COMMIT,6362,1694852512306.941
157,1694852570076,1.113,0.0,0,0,COMMIT,6353,1694852570074.887
158,1694852581416,1.124,0.097,1,338,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 10\
              AND OL_O_ID < 21562\
              AND OL_O_ID >= 21542\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",6366,1694852581414.876
159,1694852631217,1.095,0.0,0,0,COMMIT,6360,1694852631215.905
160,1694852656991,1.082,0.0,0,0,COMMIT,6367,1694852656989.918
161,1694852742037,1.131,0.0,0,0,COMMIT,6371,1694852742035.869
162,1694852891389,1.159,0.0,0,0,COMMIT,6363,1694852891387.841
163,1694852129626,1.176,0.0,0,0,COMMIT,6378,1694852129624.824
164,1694852141821,1.094,0.0,0,0,ROLLBACK,6384,1694852141819.906
168,1694852184882,1.558,0.0,0,0,COMMIT,6375,1694852184880.442
170,1694852232038,1.168,0.0,0,0,COMMIT,6377,1694852232036.832
171,1694852317234,1.086,0.0,0,0,COMMIT,6387,1694852317232.914
172,1694852370658,1.156,0.0,0,0,COMMIT,6394,1694852370656.844
173,1694852411308,1.401,0.0,0,0,COMMIT,6383,1694852411306.599
174,1694852424681,1.082,0.0,0,0,COMMIT,6390,1694852424679.918
175,1694852510086,1.208,0.0,0,0,COMMIT,6388,1694852510084.792
176,1694852535949,1.2,0.0,0,0,COMMIT,6400,1694852535947.8
177,1694852563685,1.123,0.0,0,0,COMMIT,6396,1694852563683.877
178,1694852630021,1.031,0.0,0,0,COMMIT,6398,1694852630019.969
179,1694852661326,1.089,0.0,0,0,COMMIT,6393,1694852661324.911
180,1694852672189,1.028,0.0,0,0,COMMIT,6407,1694852672187.972
181,1694852697088,1.035,0.0,0,0,COMMIT,6408,1694852697086.965
182,1694852699199,1.06,0.0,0,0,COMMIT,6399,1694852699197.94
183,1694852808530,1.037,0.0,0,0,COMMIT,6412,1694852808528.963
184,1694852874965,1.389,0.084,1,388,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 9\
              AND OL_O_ID < 21632\
              AND OL_O_ID >= 21612\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",6416,1694852874963.611
185,1694852885421,1.352,0.063,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 5\
              AND OL_O_ID < 21579\
              AND OL_O_ID >= 21559\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",6417,1694852885419.648
186,1694852914914,1.056,0.0,0,0,COMMIT,6410,1694852914912.944
187,1694852068008,1.202,0.0,0,0,COMMIT,6424,1694852068006.798
188,1694852087270,1.034,0.0,0,0,COMMIT,6415,1694852087268.966
192,1694852245093,1.108,0.0,0,0,COMMIT,6425,1694852245091.892
193,1694852295837,1.12,0.0,0,0,COMMIT,6433,1694852295835.88
194,1694852427556,1.543,0.071,1,446,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 3\
              AND OL_O_ID < 21725\
              AND OL_O_ID >= 21705\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",6443,1694852427554.457
195,1694852118499,1.045,0.0,0,0,COMMIT,6471,1694852118497.955
196,1694852119359,1.802,0.0,0,0,COMMIT,6472,1694852119357.198
197,1694852162917,1.485,0.085,1,354,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 10\
              AND OL_O_ID < 21482\
              AND OL_O_ID >= 21462\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",6475,1694852162915.515
200,1694852178631,1.021,0.0,0,0,COMMIT,6463,1694852178629.979
203,1694852337428,2.049,0.0,0,0,COMMIT,6482,1694852337425.951
204,1694852432408,1.142,0.0,0,0,COMMIT,6481,1694852432406.858
205,1694852755591,1.063,0.0,0,0,COMMIT,6499,1694852755589.937
206,1694852822374,1.216,0.0,0,0,COMMIT,6501,1694852822372.784
207,1694853025666,1.044,0.0,0,0,COMMIT,6514,1694853025664.956
209,1694852178057,1.21,0.0,0,0,COMMIT,6519,1694852178055.79
212,1694852366762,1.108,0.0,0,0,COMMIT,6518,1694852366760.892
213,1694852424941,1.004,0.0,0,0,COMMIT,6530,1694852424939.996
214,1694852561398,1.111,0.0,0,0,COMMIT,6532,1694852561396.889
215,1694852567725,1.239,0.0,0,0,ROLLBACK,6525,1694852567723.761
216,1694852621412,1.099,0.0,0,0,COMMIT,6534,1694852621410.901
217,1694852781474,1.048,0.0,0,0,COMMIT,6536,1694852781472.952
218,1694852868020,1.054,0.0,0,0,COMMIT,6543,1694852868018.946
219,1694852888893,1.174,0.0,0,0,COMMIT,6523,1694852888891.826
220,1694852176793,1.065,0.0,0,0,COMMIT,6553,1694852176791.935
223,1694852211964,1.165,0.0,0,0,COMMIT,6538,1694852211962.835
225,1694852397718,1.005,0.0,0,0,COMMIT,6535,1694852397716.995
226,1694852563017,1.242,0.0,0,0,COMMIT,6557,1694852563015.758
227,1694852635589,1.042,0.0,0,0,COMMIT,6565,1694852635587.958
228,1694852666102,1.099,0.0,0,0,COMMIT,6537,1694852666100.901
229,1694852758129,1.147,0.0,0,0,ROLLBACK,6567,1694852758127.853
230,1694852974163,1.313,0.0,0,0,COMMIT,6583,1694852974161.687
231,1694852982572,1.216,0.068,1,1,"SELECT S_QUANTITY, S_DATA, S_YTD, S_ORDER_CNT, S_REMOTE_CNT, S_DIST_08 FROM stock WHERE S_I_ID = 42913 AND S_W_ID = 1",6569,1694852982570.784
232,1694853028169,1.1,0.0,0,0,COMMIT,6578,1694853028167.9
233,1694852066332,1.726,0.0,0,0,COMMIT,6526,1694852066330.274
234,1694852075913,1.195,0.0,0,0,COMMIT,6550,1694852075911.805
235,1694852094554,1.7,0.0,0,0,COMMIT,6571,1694852094552.3
236,1694852201300,1.033,0.0,0,0,COMMIT,6585,1694852201298.967
237,1694852231720,1.05,0.0,0,0,COMMIT,6569,1694852231718.95
238,1694852294706,1.029,0.0,0,0,COMMIT,6584,1694852294704.971
240,1694852406490,4.489,0.0,0,0,COMMIT,6602,1694852406485.511
242,1694852417181,1.508,0.091,1,404,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 1\
              AND OL_O_ID < 21709\
              AND OL_O_ID >= 21689\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",6610,1694852417179.492
244,1694852492562,1.263,0.0,0,0,COMMIT,6598,1694852492560.737
245,1694852592413,1.179,0.0,0,0,COMMIT,6589,1694852592411.821
246,1694852665776,1.217,0.0,0,0,COMMIT,6621,1694852665774.783
247,1694852899708,1.585,0.089,1,420,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 7\
              AND OL_O_ID < 21672\
              AND OL_O_ID >= 21652\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",6634,1694852899706.415
248,1694852933960,1.245,0.0,0,0,COMMIT,6614,1694852933958.755
249,1694853025486,1.005,0.0,0,0,COMMIT,6612,1694853025484.995
253,1694852348200,1.692,0.0,0,0,COMMIT,6646,1694852348198.308
254,1694852581334,1.092,0.0,0,0,COMMIT,6632,1694852581332.908
255,1694852593002,1.347,0.091,1,360,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 2\
              AND OL_O_ID < 21602\
              AND OL_O_ID >= 21582\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",6659,1694852593000.653
256,1694852624854,1.041,0.0,0,0,COMMIT,6635,1694852624852.959
257,1694852866587,1.15,0.0,0,0,COMMIT,6668,1694852866585.85
258,1694852035202,1.026,0.0,0,0,COMMIT,6680,1694852035200.974
259,1694852078715,1.013,0.0,0,0,COMMIT,6647,1694852078713.987
260,1694852111107,1.085,0.0,0,0,COMMIT,6682,1694852111105.915
264,1694852371538,1.233,0.0,0,0,COMMIT,6677,1694852371536.767
265,1694852372355,1.522,0.0,0,0,COMMIT,6669,1694852372353.478
266,1694852381720,1.344,0.0,0,0,COMMIT,6688,1694852381718.656
267,1694852427666,1.085,0.0,0,0,COMMIT,6671,1694852427664.915
268,1694852456906,1.091,0.0,0,0,COMMIT,6681,1694852456904.909
269,1694852471000,1.146,0.0,0,0,COMMIT,6678,1694852470998.854
270,1694852483762,1.107,0.0,0,0,COMMIT,6693,1694852483760.893
271,1694852653384,1.202,0.0,0,0,COMMIT,6690,1694852653382.798
272,1694852758188,1.075,0.0,0,0,COMMIT,6703,1694852758186.925
