,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
2,1698736334966,1.003,0.0,0,0,COMMIT,159107,1698736334964.997
3,1698736397647,1.084,0.0,0,0,COMMIT,159110,1698736397645.916
4,1698736525882,1.767,0.104,1,344,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 7\
              AND OL_O_ID < 44010\
              AND OL_O_ID >= 43990\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",159118,1698736525880.233
5,1698736534082,1.088,0.0,0,0,COMMIT,159115,1698736534080.912
6,1698736552493,1.083,0.0,0,0,COMMIT,159113,1698736552491.917
7,1698736640800,1.07,0.0,0,0,COMMIT,159112,1698736640798.93
8,1698735737376,1.251,0.0,0,0,COMMIT,159127,1698735737374.749
9,1698735738273,1.932,0.0,0,0,COMMIT,159117,1698735738271.068
12,1698735810569,1.154,0.0,0,0,COMMIT,159131,1698735810567.846
14,1698735829467,1.018,0.0,0,0,COMMIT,159130,1698735829465.982
16,1698735888696,1.093,0.0,0,0,COMMIT,159123,1698735888694.907
17,1698735909589,1.058,0.0,0,0,COMMIT,159126,1698735909587.942
18,1698735990102,1.588,0.106,1,440,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 3\
              AND OL_O_ID < 44475\
              AND OL_O_ID >= 44455\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",159144,1698735990100.412
19,1698736172772,1.034,0.0,0,0,COMMIT,159146,1698736172770.966
20,1698736215564,1.095,0.0,0,0,COMMIT,159152,1698736215562.905
21,1698736236481,1.165,0.0,0,0,COMMIT,159154,1698736236479.835
22,1698736241744,1.157,0.0,0,0,COMMIT,159150,1698736241742.843
23,1698736375358,1.129,0.0,0,0,COMMIT,159160,1698736375356.871
24,1698736416852,15.544,0.0,0,0,COMMIT,159162,1698736416836.456
25,1698736422099,10.607,0.0,0,0,COMMIT,159156,1698736422088.393
26,1698736510757,1.183,0.0,0,0,COMMIT,159158,1698736510755.817
27,1698736524672,1.07,0.0,0,0,COMMIT,159157,1698736524670.93
28,1698735730291,1.046,0.0,0,0,COMMIT,159168,1698735730289.954
32,1698735932433,1.077,0.0,0,0,COMMIT,159174,1698735932431.923
33,1698735965732,1.091,0.0,0,0,COMMIT,159171,1698735965730.909
34,1698736187825,1.455,0.102,1,398,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 10\
              AND OL_O_ID < 44092\
              AND OL_O_ID >= 44072\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",159194,1698736187823.545
35,1698736288249,1.099,0.0,0,0,COMMIT,159187,1698736288247.901
36,1698736415825,1.031,0.0,0,0,COMMIT,159190,1698736415823.969
38,1698735836229,1.218,0.0,0,0,COMMIT,159212,1698735836227.782
40,1698735979618,1.54,0.0,0,0,COMMIT,159225,1698735979616.46
41,1698736020014,1.068,0.087,1,382,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 1\
              AND OL_O_ID < 44538\
              AND OL_O_ID >= 44518\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",159229,1698736020012.932
42,1698736260381,1.143,0.0,0,0,COMMIT,159236,1698736260379.857
43,1698736268959,1.033,0.0,0,0,COMMIT,159227,1698736268957.967
44,1698736287377,1.089,0.0,0,0,COMMIT,159230,1698736287375.911
45,1698736321687,1.175,0.0,0,0,COMMIT,159226,1698736321685.825
46,1698736373868,1.37,0.089,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (44476, '03', 1, 5, 59705, 1, '2023-10-31 15:01:08.491388', 3, 217.86, 'yM66oyBjzYjbakm2wdlwnJQp')",159234,1698736373866.63
47,1698736434386,1.209,0.0,0,0,COMMIT,159242,1698736434384.791
48,1698736460573,1.028,0.0,0,0,COMMIT,159243,1698736460571.972
49,1698736471471,1.159,0.0,0,0,COMMIT,159238,1698736471469.841
50,1698736535702,1.054,0.0,0,0,COMMIT,159247,1698736535700.946
51,1698736611148,1.078,0.0,0,0,COMMIT,159241,1698736611146.922
52,1698735673095,1.054,0.0,0,0,COMMIT,159245,1698735673093.946
57,1698735938899,1.159,0.0,0,0,COMMIT,159263,1698735938897.841
