,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1694760379989,1.249,0.0,0,0,COMMIT,184729,1694760379987.751
4,1694759427899,1.038,0.0,0,0,COMMIT,184731,1694759427897.962
8,1694759565548,1.016,0.0,0,0,COMMIT,184727,1694759565546.984
10,1694759624595,1.076,0.0,0,0,COMMIT,184740,1694759624593.924
11,1694759660287,1.059,0.0,0,0,COMMIT,184742,1694759660285.941
12,1694759684534,1.224,0.0,0,0,COMMIT,184743,1694759684532.776
13,1694759708390,1.098,0.0,0,0,COMMIT,184728,1694759708388.902
14,1694759709262,1.302,0.0,0,0,COMMIT,184745,1694759709260.698
15,1694759784269,1.035,0.0,0,0,COMMIT,184736,1694759784267.965
16,1694759830447,1.086,0.0,0,0,COMMIT,184749,1694759830445.914
17,1694759869479,1.023,0.0,0,0,ROLLBACK,184741,1694759869477.977
18,1694759915686,1.028,0.0,0,0,COMMIT,184753,1694759915684.972
19,1694759956251,1.102,0.0,0,0,COMMIT,184756,1694759956249.898
20,1694760041026,1.179,0.0,0,0,COMMIT,184755,1694760041024.821
21,1694760123200,1.172,0.0,0,0,COMMIT,184747,1694760123198.828
22,1694760194494,1.326,0.0,0,0,COMMIT,184757,1694760194492.674
23,1694760195176,1.216,0.0,0,0,COMMIT,184768,1694760195174.784
24,1694760235563,2.019,0.0,0,0,COMMIT,184754,1694760235560.981
25,1694760247997,2.193,0.0,0,0,ROLLBACK,184761,1694760247994.807
26,1694760253317,1.187,0.0,0,0,COMMIT,184751,1694760253315.813
27,1694760388737,1.108,0.0,0,0,COMMIT,184765,1694760388735.892
28,1694760410891,1.026,0.0,0,0,COMMIT,184767,1694760410889.974
29,1694759432141,1.024,0.0,0,0,COMMIT,184763,1694759432139.976
34,1694759597864,1.309,0.0,0,0,COMMIT,184784,1694759597862.691
35,1694759637945,1.029,0.0,0,0,COMMIT,184778,1694759637943.971
36,1694759638592,1.259,0.0,0,0,COMMIT,184773,1694759638590.741
37,1694759641363,1.171,0.0,0,0,COMMIT,184774,1694759641361.829
38,1694759665696,1.01,0.0,0,0,COMMIT,184787,1694759665694.99
39,1694759686070,1.003,0.0,0,0,COMMIT,184788,1694759686068.997
