,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1694829326911,1.626,0.0,0,0,COMMIT,398095,1694829326909.374
4,1694829343849,1.039,0.0,0,0,COMMIT,398096,1694829343847.961
5,1694829393586,1.026,0.0,0,0,COMMIT,398094,1694829393584.974
6,1694829463836,1.266,0.0,0,0,COMMIT,398093,1694829463834.734
7,1694829486471,1.062,0.0,0,0,COMMIT,398101,1694829486469.938
8,1694829590413,1.313,0.0,0,0,COMMIT,398109,1694829590411.687
9,1694829599563,1.24,0.0,0,0,COMMIT,398110,1694829599561.76
10,1694829608528,1.141,0.0,0,0,COMMIT,398102,1694829608526.859
11,1694829614880,1.008,0.0,0,0,ROLLBACK,398104,1694829614878.992
12,1694829695671,1.164,0.0,0,0,COMMIT,398108,1694829695669.836
13,1694829702143,1.027,0.0,0,0,ROLLBACK,398111,1694829702141.973
14,1694828773860,1.139,0.0,0,0,COMMIT,398116,1694828773858.861
18,1694828874218,1.18,0.0,0,0,COMMIT,398119,1694828874216.82
20,1694829062867,1.619,0.0,0,0,COMMIT,398120,1694829062865.381
21,1694829063880,2.191,0.0,0,0,COMMIT,398127,1694829063877.809
22,1694829087128,1.055,0.0,0,0,COMMIT,398131,1694829087126.945
23,1694829124894,1.007,0.0,0,0,COMMIT,398133,1694829124892.993
24,1694829165132,1.18,0.0,0,0,COMMIT,398134,1694829165130.82
25,1694829204583,1.167,0.0,0,0,COMMIT,398135,1694829204581.833
26,1694829205291,1.716,0.0,0,0,COMMIT,398124,1694829205289.284
27,1694829303525,1.096,0.0,0,0,COMMIT,398140,1694829303523.904
28,1694829321799,1.008,0.0,0,0,COMMIT,398123,1694829321797.992
29,1694829327404,1.018,0.0,0,0,COMMIT,398130,1694829327402.982
30,1694829339640,1.025,0.0,0,0,ROLLBACK,398128,1694829339638.975
31,1694829372726,1.144,0.0,0,0,COMMIT,398142,1694829372724.856
32,1694829374411,1.382,0.121,1,396,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 6\
              AND OL_O_ID < 20338\
              AND OL_O_ID >= 20318\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",398146,1694829374409.618
33,1694829399794,1.148,0.0,0,0,COMMIT,398145,1694829399792.852
34,1694829450232,1.082,0.0,0,0,COMMIT,398148,1694829450230.918
35,1694829473963,1.198,0.0,0,0,COMMIT,398138,1694829473961.802
36,1694829481454,1.063,0.0,0,0,COMMIT,398149,1694829481452.937
37,1694829645461,1.134,0.0,0,0,COMMIT,398143,1694829645459.866
38,1694829687623,1.003,0.0,0,0,COMMIT,398141,1694829687621.997
39,1694828753074,1.046,0.0,0,0,COMMIT,398159,1694828753072.954
41,1694828847928,1.796,0.0,0,0,COMMIT,398164,1694828847926.204
45,1694828907569,1.117,0.0,0,0,COMMIT,398169,1694828907567.883
46,1694828943504,1.265,0.0,0,0,COMMIT,398157,1694828943502.735
47,1694828946694,3.874,0.0,0,0,COMMIT,398163,1694828946690.126
48,1694828967886,1.378,0.084,1,412,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 1\
              AND OL_O_ID < 20308\
              AND OL_O_ID >= 20288\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",398173,1694828967884.622
49,1694828989384,1.087,0.0,0,0,COMMIT,398156,1694828989382.913
50,1694829010497,1.2,0.0,0,0,COMMIT,398174,1694829010495.8
51,1694829052762,1.046,0.0,0,0,COMMIT,398175,1694829052760.954
52,1694829062692,1.111,0.0,0,0,COMMIT,398162,1694829062690.889
53,1694829161277,1.102,0.0,0,0,COMMIT,398180,1694829161275.898
54,1694829166082,1.851,0.091,1,424,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 5\
              AND OL_O_ID < 20413\
              AND OL_O_ID >= 20393\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",398182,1694829166080.149
55,1694829215560,1.13,0.0,0,0,COMMIT,398166,1694829215558.87
56,1694829288006,1.13,0.0,0,0,COMMIT,398185,1694829288004.87
57,1694829376563,1.1,0.0,0,0,COMMIT,398190,1694829376561.9
58,1694829433760,1.676,0.0,0,0,COMMIT,398193,1694829433758.324
59,1694829544507,1.183,0.0,0,0,COMMIT,398198,1694829544505.817
60,1694829580548,1.055,0.0,0,0,COMMIT,398186,1694829580546.945
61,1694829650451,1.091,0.0,0,0,COMMIT,398196,1694829650449.909
62,1694828764882,1.713,0.095,1,460,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 3\
              AND OL_O_ID < 20326\
              AND OL_O_ID >= 20306\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",398210,1694828764880.287
67,1694828908939,1.417,0.0,0,0,COMMIT,398208,1694828908937.583
68,1694829128362,1.489,0.071,1,1,"SELECT O_ID, O_CARRIER_ID, O_ENTRY_D FROM orders WHERE O_W_ID = 2 AND O_D_ID = 3 AND O_C_ID = 930 ORDER BY O_ID DESC LIMIT 1",398226,1694829128360.511
69,1694829143003,1.019,0.0,0,0,COMMIT,398224,1694829143001.981
70,1694829147872,1.543,0.073,25,25,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_BALANCE FROM customer WHERE C_W_ID = 2 AND C_D_ID = 10 AND C_LAST = 'ABLEANTIPRI' ORDER BY C_FIRST",398227,1694829147870.457
71,1694829226024,1.568,0.06,0,1,"UPDATE stock SET S_QUANTITY = 72, S_YTD = 69, S_ORDER_CNT = 14, S_REMOTE_CNT = 0 WHERE S_I_ID = 71407 AND S_W_ID = 2",398223,1694829226022.432
72,1694829253881,1.804,0.085,1,386,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 6\
              AND OL_O_ID < 20409\
              AND OL_O_ID >= 20389\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",398230,1694829253879.196
73,1694829649857,1.209,0.0,0,0,COMMIT,398243,1694829649855.791
74,1694829681178,1.017,0.0,0,0,COMMIT,398250,1694829681176.983
75,1694828805980,1.042,0.0,0,0,COMMIT,398255,1694828805978.958
80,1694828892823,1.281,0.0,0,0,COMMIT,398259,1694828892821.719
81,1694829019545,1.035,0.0,0,0,COMMIT,398264,1694829019543.965
82,1694829020137,1.239,0.0,0,0,COMMIT,398265,1694829020135.761
83,1694829137380,1.067,0.0,0,0,COMMIT,398270,1694829137378.933
84,1694829210958,1.047,0.0,0,0,COMMIT,398266,1694829210956.953
85,1694829275223,1.075,0.0,0,0,COMMIT,398272,1694829275221.925
86,1694829319104,1.018,0.0,0,0,COMMIT,398274,1694829319102.982
87,1694829336913,1.018,0.0,0,0,COMMIT,398277,1694829336911.982
88,1694829436068,1.087,0.0,0,0,COMMIT,398281,1694829436066.913
89,1694829456029,1.627,0.086,1,370,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 3\
              AND OL_O_ID < 20627\
              AND OL_O_ID >= 20607\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",398285,1694829456027.373
90,1694829512594,1.032,0.0,0,0,COMMIT,398283,1694829512592.968
91,1694829531889,1.118,0.0,0,0,COMMIT,398280,1694829531887.882
92,1694829661837,1.046,0.0,0,0,COMMIT,398294,1694829661835.954
93,1694829690399,1.406,0.078,1,402,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 4\
              AND OL_O_ID < 20393\
              AND OL_O_ID >= 20373\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",398297,1694829690397.594
94,1694828735002,1.215,0.0,0,0,COMMIT,398291,1694828735000.785
95,1694828806550,1.067,0.0,0,0,COMMIT,398293,1694828806548.933
99,1694828915932,1.284,0.0,0,0,COMMIT,398302,1694828915930.716
100,1694829173457,1.136,0.0,0,0,COMMIT,398306,1694829173455.864
101,1694829236590,1.023,0.0,0,0,COMMIT,398316,1694829236588.977
102,1694829472358,1.173,0.085,1,372,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 1\
              AND OL_O_ID < 20478\
              AND OL_O_ID >= 20458\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",398331,1694829472356.827
103,1694829499209,1.041,0.0,0,0,COMMIT,398332,1694829499207.959
104,1694828823212,1.108,0.0,0,0,COMMIT,398347,1694828823210.892
107,1694828862690,1.214,0.0,0,0,COMMIT,398348,1694828862688.786
110,1694829236128,3.663,0.0,0,0,COMMIT,398366,1694829236124.337
111,1694829379163,1.029,0.0,0,0,COMMIT,398356,1694829379161.971
112,1694829429642,1.127,0.0,0,0,COMMIT,398375,1694829429640.873
113,1694829556200,1.129,0.09,1,336,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 1\
              AND OL_O_ID < 20449\
              AND OL_O_ID >= 20429\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",398383,1694829556198.871
114,1694829610886,1.206,0.0,0,0,COMMIT,398385,1694829610884.794
115,1694829626667,1.033,0.0,0,0,COMMIT,398369,1694829626665.967
116,1694828722594,1.069,0.0,0,0,ROLLBACK,398382,1694828722592.931
119,1694828863398,1.022,0.0,0,0,ROLLBACK,398388,1694828863396.978
122,1694828910916,1.158,0.089,1,408,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 2\
              AND OL_O_ID < 20245\
              AND OL_O_ID >= 20225\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",398402,1694828910914.842
123,1694828927727,1.127,0.0,0,0,COMMIT,398401,1694828927725.873
124,1694828964470,1.108,0.0,0,0,COMMIT,398403,1694828964468.892
125,1694828967415,1.311,0.085,1,416,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 10\
              AND OL_O_ID < 20263\
              AND OL_O_ID >= 20243\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",398405,1694828967413.689
