,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1694741931792,1.512,0.0,0,0,COMMIT,79965,1694741931790.488
4,1694741950373,1.094,0.0,0,0,COMMIT,79964,1694741950371.906
5,1694741971450,1.137,0.0,0,0,COMMIT,79970,1694741971448.863
6,1694742090228,1.257,0.0,0,0,COMMIT,79977,1694742090226.743
7,1694742137661,1.072,0.0,0,0,COMMIT,79975,1694742137659.928
8,1694741221064,1.999,0.112,1,402,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 4\
              AND OL_O_ID < 18611\
              AND OL_O_ID >= 18591\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",79984,1694741221062.001
9,1694741282436,1.618,0.0,0,0,COMMIT,79981,1694741282434.382
15,1694741333928,3.334,0.0,0,0,COMMIT,79989,1694741333924.666
16,1694741360838,1.136,0.0,0,0,COMMIT,79980,1694741360836.864
17,1694741420033,1.215,0.0,0,0,COMMIT,79993,1694741420031.785
18,1694741462659,1.017,0.0,0,0,COMMIT,79985,1694741462657.983
19,1694741474250,1.036,0.0,0,0,COMMIT,79986,1694741474248.964
20,1694741508127,1.066,0.0,0,0,COMMIT,79997,1694741508125.934
21,1694741521116,1.069,0.0,0,0,COMMIT,79987,1694741521114.931
22,1694741623384,1.106,0.0,0,0,COMMIT,79998,1694741623382.894
23,1694741812686,1.023,0.0,0,0,COMMIT,80011,1694741812684.977
24,1694741896023,1.137,0.0,0,0,COMMIT,80005,1694741896021.863
25,1694741949217,1.015,0.0,0,0,COMMIT,80016,1694741949215.985
26,1694742017761,1.029,0.0,0,0,COMMIT,80014,1694742017759.971
27,1694742060674,1.016,0.0,0,0,COMMIT,80022,1694742060672.984
28,1694742118956,1.013,0.0,0,0,COMMIT,80026,1694742118954.987
29,1694741175417,1.347,0.0,0,0,COMMIT,80028,1694741175415.653
