,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
2,1698310217163,2.071,0.0,0,0,COMMIT,507,1698310217160.929
3,1698310245798,1.056,0.053,0,1,"UPDATE stock SET S_QUANTITY = 89, S_YTD = 139, S_ORDER_CNT = 26, S_REMOTE_CNT = 0 WHERE S_I_ID = 23000 AND S_W_ID = 3",504,1698310245796.944
4,1698310261224,1.177,0.0,0,0,COMMIT,509,1698310261222.823
5,1698310306148,1.115,0.0,0,0,COMMIT,511,1698310306146.885
6,1698310331367,1.217,0.0,0,0,COMMIT,504,1698310331365.783
7,1698310343460,1.119,0.0,0,0,COMMIT,505,1698310343458.881
8,1698310363223,1.621,0.131,0,0,"INSERT INTO orders (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_CARRIER_ID, O_OL_CNT, O_ALL_LOCAL) VALUES (37216, 6, 4, 829, '2023-10-26 16:41:40.606063', 0, 11, 1)",512,1698310363221.379
9,1698310490218,1.045,0.0,0,0,COMMIT,512,1698310490216.955
10,1698310542845,1.028,0.0,0,0,COMMIT,518,1698310542843.972
11,1698310604818,1.172,0.0,0,0,COMMIT,522,1698310604816.828
12,1698310684547,1.087,0.0,0,0,COMMIT,519,1698310684545.913
13,1698309707861,1.113,0.0,0,0,COMMIT,520,1698309707859.887
14,1698309715509,1.05,0.0,0,0,COMMIT,526,1698309715507.95
15,1698309721216,1.071,0.0,0,0,COMMIT,521,1698309721214.929
16,1698309819590,1.56,0.0,0,0,COMMIT,525,1698309819588.44
21,1698309890819,1.225,0.0,0,0,COMMIT,532,1698309890817.775
22,1698309898428,1.232,0.0,0,0,COMMIT,533,1698309898426.768
23,1698309950934,1.098,0.0,0,0,COMMIT,535,1698309950932.902
24,1698310004203,1.245,0.0,0,0,COMMIT,537,1698310004201.755
25,1698310004970,1.251,0.0,0,0,COMMIT,528,1698310004968.749
26,1698310011482,1.062,0.0,0,0,ROLLBACK,529,1698310011480.938
27,1698310042176,1.195,0.0,0,0,COMMIT,539,1698310042174.805
28,1698310076223,1.307,0.0,0,0,COMMIT,531,1698310076221.693
29,1698310114878,1.656,0.0,0,0,COMMIT,534,1698310114876.344
30,1698310125808,1.092,0.0,0,0,COMMIT,542,1698310125806.908
31,1698310148669,1.287,0.14,54,54,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 3 AND C_D_ID = 6 AND C_LAST = 'ABLECALLYEING' ORDER BY C_FIRST",544,1698310148667.713
32,1698310181746,1.196,0.0,0,0,COMMIT,544,1698310181744.804
33,1698310260448,1.095,0.0,0,0,COMMIT,541,1698310260446.905
34,1698310301755,1.514,0.074,0,1,"UPDATE customer SET C_BALANCE = 3384.5099999999998e0, C_YTD_PAYMENT = 55910.75e0, C_PAYMENT_CNT = 23 WHERE C_W_ID = 1 AND C_D_ID = 4 AND C_ID = 1412",549,1698310301753.486
35,1698310352371,1.046,0.105,62,62,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 3 AND C_D_ID = 8 AND C_LAST = 'ESEPRIESE' ORDER BY C_FIRST",552,1698310352369.954
36,1698310384521,1.018,0.0,0,0,COMMIT,552,1698310384519.982
37,1698310387930,1.05,0.0,0,0,COMMIT,545,1698310387928.95
38,1698310530781,1.351,0.0,0,0,COMMIT,559,1698310530779.649
39,1698310564219,1.074,0.0,0,0,COMMIT,561,1698310564217.926
40,1698310577503,1.189,0.0,0,0,COMMIT,562,1698310577501.811
41,1698310594499,1.079,0.0,0,0,ROLLBACK,556,1698310594497.921
