,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1698223762003,1.185,0.0,0,0,COMMIT,1333808,1698223762001.815
5,1698223794095,1.097,0.0,0,0,COMMIT,1333809,1698223794093.903
6,1698223819948,1.078,0.0,0,0,COMMIT,1333810,1698223819946.922
7,1698223874867,1.041,0.0,0,0,COMMIT,1333812,1698223874865.959
8,1698223940488,1.097,0.0,0,0,COMMIT,1333807,1698223940486.903
9,1698223998070,1.07,0.0,0,0,COMMIT,1333811,1698223998068.93
10,1698224003459,1.053,0.0,0,0,COMMIT,1333818,1698224003457.947
11,1698224016372,1.203,0.0,0,0,COMMIT,1333819,1698224016370.797
12,1698224063185,1.021,0.0,0,0,COMMIT,1333821,1698224063183.979
13,1698224114335,1.306,0.0,0,0,COMMIT,1333823,1698224114333.694
14,1698224173000,1.044,0.0,0,0,COMMIT,1333816,1698224172998.956
15,1698224248331,1.076,0.0,0,0,COMMIT,1333830,1698224248329.924
16,1698223268581,1.006,0.0,0,0,COMMIT,1333813,1698223268579.994
17,1698223332761,1.054,0.0,0,0,COMMIT,1333834,1698223332759.946
18,1698223347570,2.264,0.084,1,420,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 4\
              AND OL_O_ID < 36171\
              AND OL_O_ID >= 36151\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",1333836,1698223347567.736
19,1698223353183,1.103,0.0,0,0,COMMIT,1333827,1698223353181.897
24,1698223431450,1.15,0.0,0,0,COMMIT,1333828,1698223431448.85
26,1698223553429,1.018,0.0,0,0,COMMIT,1333845,1698223553427.982
27,1698223575803,1.652,0.069,1,352,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 5\
              AND OL_O_ID < 36462\
              AND OL_O_ID >= 36442\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",1333847,1698223575801.348
28,1698223591545,1.011,0.0,0,0,COMMIT,1333837,1698223591543.989
29,1698223631696,1.027,0.0,0,0,COMMIT,1333838,1698223631694.973
30,1698223775466,1.248,0.0,0,0,COMMIT,1333855,1698223775464.752
31,1698223799796,1.058,0.0,0,0,COMMIT,1333858,1698223799794.942
32,1698224104368,1.121,0.0,0,0,COMMIT,1333871,1698224104366.879
33,1698224111917,1.003,0.0,0,0,COMMIT,1333872,1698224111915.997
34,1698224126905,2.001,0.0,0,0,COMMIT,1333873,1698224126902.999
35,1698224142872,1.225,0.0,0,0,COMMIT,1333867,1698224142870.775
36,1698224148897,1.269,0.102,1,408,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 2\
              AND OL_O_ID < 36361\
              AND OL_O_ID >= 36341\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",1333875,1698224148895.731
37,1698224163099,1.422,0.0,0,0,COMMIT,1333869,1698224163097.578
38,1698223333567,1.23,0.0,0,0,COMMIT,1333881,1698223333565.77
39,1698223367014,1.011,0.0,0,0,COMMIT,1333883,1698223367012.989
40,1698223397117,1.143,0.0,0,0,ROLLBACK,1333879,1698223397115.857
45,1698223464990,1.187,0.0,0,0,COMMIT,1333888,1698223464988.813
46,1698223527523,1.167,0.0,0,0,COMMIT,1333890,1698223527521.833
47,1698223558105,1.196,0.0,0,0,COMMIT,1333892,1698223558103.804
48,1698223665529,2.511,0.098,1,382,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 3\
              AND OL_O_ID < 36306\
              AND OL_O_ID >= 36286\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",1333899,1698223665526.489
49,1698223718986,1.003,0.0,0,0,COMMIT,1333900,1698223718984.997
