,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1698219413477,1.304,0.0,0,0,COMMIT,1294635,1698219413475.696
5,1698219447656,1.058,0.0,0,0,COMMIT,1294636,1698219447654.942
6,1698219473860,1.032,0.0,0,0,COMMIT,1294637,1698219473858.968
7,1698219494237,1.506,0.0,0,0,COMMIT,1294630,1698219494235.494
8,1698219678363,1.471,0.0,0,0,COMMIT,1294633,1698219678361.529
9,1698219727201,2.038,0.096,1,402,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 9\
              AND OL_O_ID < 36090\
              AND OL_O_ID >= 36070\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",1294649,1698219727198.962
10,1698219774073,1.153,0.0,0,0,COMMIT,1294650,1698219774071.847
11,1698219817540,1.035,0.0,0,0,COMMIT,1294652,1698219817538.965
12,1698219863269,1.197,0.0,0,0,COMMIT,1294654,1698219863267.803
13,1698219891601,1.056,0.0,0,0,COMMIT,1294641,1698219891599.944
14,1698219908004,1.018,0.0,0,0,COMMIT,1294656,1698219908002.982
15,1698219962105,1.056,0.0,0,0,COMMIT,1294643,1698219962103.944
16,1698219974487,1.005,0.0,0,0,ROLLBACK,1294644,1698219974485.995
17,1698219975127,1.151,0.0,0,0,COMMIT,1294653,1698219975125.849
18,1698219123179,1.025,0.0,0,0,COMMIT,1294664,1698219123177.975
19,1698219142002,1.096,0.0,0,0,COMMIT,1294665,1698219142000.904
20,1698219162940,1.045,0.0,0,0,COMMIT,1294668,1698219162938.955
21,1698219175618,1.013,0.0,0,0,COMMIT,1294651,1698219175616.987
25,1698219213750,1.589,0.0,0,0,COMMIT,1294670,1698219213748.411
27,1698219393897,2.31,0.092,1,446,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 4\
              AND OL_O_ID < 36133\
              AND OL_O_ID >= 36113\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",1294682,1698219393894.69
28,1698219397692,1.045,0.0,0,0,COMMIT,1294661,1698219397690.955
29,1698219549904,1.032,0.0,0,0,COMMIT,1294680,1698219549902.968
30,1698219659921,1.152,0.0,0,0,COMMIT,1294672,1698219659919.848
31,1698219719296,1.064,0.0,0,0,COMMIT,1294692,1698219719294.936
32,1698219745876,1.221,0.0,0,0,COMMIT,1294678,1698219745874.779
33,1698219839398,1.228,0.0,0,0,COMMIT,1294699,1698219839396.772
34,1698219885968,1.077,0.0,0,0,COMMIT,1294700,1698219885966.923
35,1698219946243,1.073,0.0,0,0,COMMIT,1294701,1698219946241.927
36,1698219981563,1.038,0.0,0,0,COMMIT,1294689,1698219981561.962
37,1698220007141,1.674,0.097,1,360,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 4\
              AND OL_O_ID < 35976\
              AND OL_O_ID >= 35956\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",1294709,1698220007139.326
38,1698220043571,1.103,0.0,0,0,COMMIT,1294707,1698220043569.897
39,1698219119600,1.237,0.0,0,0,COMMIT,1294712,1698219119598.763
41,1698219187953,2.198,0.0,0,0,COMMIT,1294716,1698219187950.802
45,1698219233484,1.316,0.0,0,0,COMMIT,1294719,1698219233482.684
46,1698219389436,1.145,0.0,0,0,COMMIT,1294728,1698219389434.855
47,1698219410014,1.151,0.0,0,0,COMMIT,1294718,1698219410012.849
48,1698219433082,1.129,0.0,0,0,COMMIT,1294723,1698219433080.871
49,1698219468682,1.083,0.0,0,0,COMMIT,1294731,1698219468680.917
50,1698219661209,1.417,0.0,0,0,COMMIT,1294734,1698219661207.583
51,1698219892824,1.861,0.09,1,418,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 5\
              AND OL_O_ID < 36077\
              AND OL_O_ID >= 36057\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",1294749,1698219892822.139
