,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1698288656322,1.662,0.597,1,1,SELECT NO_O_ID FROM new_orders WHERE NO_D_ID = 1 AND NO_W_ID = 4 AND NO_O_ID > -1 LIMIT 1,1456159,1698288656320.338
5,1698288685016,1.139,0.095,3,3,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 3 AND C_D_ID = 5 AND C_LAST = 'BAROUGHTBAR' ORDER BY C_FIRST",1456160,1698288685014.861
6,1698288713467,1.307,0.0,0,0,COMMIT,1456160,1698288713465.693
7,1698288819563,1.035,0.0,0,0,COMMIT,1456165,1698288819561.965
8,1698287899511,24.924,0.103,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 4\
              AND OL_O_ID < 36716\
              AND OL_O_ID >= 36696\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",1456168,1698287899486.076
9,1698287906327,1.005,0.0,0,0,COMMIT,1456159,1698287906325.995
10,1698287929053,1.024,0.0,0,0,COMMIT,1456162,1698287929051.976
11,1698287959168,2.366,0.093,5,5,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 4 AND C_D_ID = 9 AND C_LAST = 'OUGHTPRIPRES' ORDER BY C_FIRST",1456173,1698287959165.634
13,1698287972177,1.055,0.0,0,0,COMMIT,1456167,1698287972175.945
16,1698287988450,3.916,0.071,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 17756",1456175,1698287988446.084
18,1698288030116,1.101,0.0,0,0,COMMIT,1456164,1698288030114.899
19,1698288042373,2.832,0.0,0,0,COMMIT,1456172,1698288042370.168
20,1698288180526,3.231,0.085,9,9,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 2 AND C_D_ID = 8 AND C_LAST = 'ESEBARABLE' ORDER BY C_FIRST",1456185,1698288180522.769
21,1698288190241,1.105,0.0,0,0,COMMIT,1456179,1698288190239.895
22,1698288234340,1.069,0.066,1,1,"SELECT C_DISCOUNT, C_LAST, C_CREDIT FROM customer WHERE C_W_ID = 3 AND C_D_ID = 6 AND C_ID = 297",1456183,1698288234338.931
23,1698288250667,2.972,0.091,4,4,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 2 AND C_D_ID = 4 AND C_LAST = 'ATIONATIONESE' ORDER BY C_FIRST",1456188,1698288250664.028
24,1698288268371,1.02,0.083,3,3,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 3 AND C_D_ID = 10 AND C_LAST = 'OUGHTABLEPRI' ORDER BY C_FIRST",1456189,1698288268369.98
25,1698288330199,1.069,0.0,0,0,COMMIT,1456181,1698288330197.931
