,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1698299775666,1.21,0.0,0,0,COMMIT,1489060,1698299775664.79
4,1698299824800,1.078,0.0,0,0,COMMIT,1489063,1698299824798.922
5,1698299830205,1.85,0.077,1,422,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 9\
              AND OL_O_ID < 36898\
              AND OL_O_ID >= 36878\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",1489067,1698299830203.15
6,1698299881153,1.263,0.0,0,0,COMMIT,1489068,1698299881151.737
7,1698298957138,1.002,0.0,0,0,COMMIT,1489071,1698298957136.998
8,1698299035741,1.107,0.0,0,0,COMMIT,1489064,1698299035739.893
13,1698299124586,1.129,0.0,0,0,COMMIT,1489081,1698299124584.871
14,1698299160836,1.387,0.0,0,0,COMMIT,1489085,1698299160834.613
15,1698299196355,1.047,0.0,0,0,COMMIT,1489088,1698299196353.953
16,1698299219923,1.008,0.0,0,0,COMMIT,1489089,1698299219921.992
17,1698299247323,2.078,0.054,0,1,"UPDATE stock SET S_QUANTITY = 25, S_YTD = 166, S_ORDER_CNT = 33, S_REMOTE_CNT = 0 WHERE S_I_ID = 58048 AND S_W_ID = 2",1489080,1698299247320.922
18,1698299249223,1.439,0.0,0,0,COMMIT,1489079,1698299249221.561
19,1698299249851,1.532,0.0,0,0,COMMIT,1489091,1698299249849.468
20,1698299255693,1.578,0.0,0,0,COMMIT,1489080,1698299255691.422
21,1698299438798,1.779,0.116,1,458,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 8\
              AND OL_O_ID < 37009\
              AND OL_O_ID >= 36989\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",1489102,1698299438796.221
22,1698299596482,1.084,0.0,0,0,COMMIT,1489107,1698299596480.916
23,1698299607483,1.073,0.074,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (37143, '03', 2, 8, 98764, 2, '2023-10-26 13:41:51.558348', 9, 161.64, 'G6g6npC4xIgf47Fteb7K8gju')",1489103,1698299607481.927
24,1698299622584,1.119,0.0,0,0,COMMIT,1489103,1698299622582.881
25,1698299807478,1.377,0.0,0,0,COMMIT,1489119,1698299807476.623
26,1698299824454,2.148,0.117,1,404,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 10\
              AND OL_O_ID < 36640\
              AND OL_O_ID >= 36620\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",1489121,1698299824451.852
27,1698299824874,1.109,0.0,0,0,COMMIT,1489111,1698299824872.891
28,1698298938564,1.188,0.0,0,0,COMMIT,1489126,1698298938562.812
29,1698299000474,1.728,0.179,23,23,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 4 AND C_D_ID = 6 AND C_LAST = 'OUGHTESEOUGHT' ORDER BY C_FIRST",1489129,1698299000472.272
