,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1698493799958,1.296,0.0,0,0,COMMIT,212902,1698493799956.704
4,1698493063154,1.004,0.0,0,0,COMMIT,212908,1698493063152.996
5,1698493086087,1.096,0.0,0,0,COMMIT,212910,1698493086085.904
10,1698493203313,1.283,0.0,0,0,COMMIT,212913,1698493203311.717
11,1698493213895,1.654,0.097,1,450,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 1\
              AND OL_O_ID < 40516\
              AND OL_O_ID >= 40496\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",212920,1698493213893.346
12,1698493232364,1.075,0.0,0,0,COMMIT,212912,1698493232362.925
13,1698493299061,1.052,0.0,0,0,COMMIT,212922,1698493299059.948
14,1698493355559,1.016,0.0,0,0,COMMIT,212924,1698493355557.984
15,1698493403218,1.561,0.094,1,358,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 4\
              AND OL_O_ID < 40719\
              AND OL_O_ID >= 40699\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",212928,1698493403216.439
16,1698493524572,1.023,0.067,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (40519, '06', 1, 4, 40598, 1, '2023-10-28 19:36:39.438719', 1, 69.72, 'ydiUd7WZJQC32AKWx1Qv2N8m')",212931,1698493524570.977
17,1698493550331,1.002,0.0,0,0,COMMIT,212931,1698493550329.998
18,1698493592839,1.029,0.0,0,0,COMMIT,212926,1698493592837.971
19,1698493667124,1.029,0.0,0,0,COMMIT,212939,1698493667122.971
20,1698493723329,1.114,0.0,0,0,COMMIT,212943,1698493723327.886
