,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
5,1695104489887,1.313,0.0,0,0,COMMIT,209317,1695104489885.687
6,1695104552213,2.187,0.097,1,368,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 10\
              AND OL_O_ID < 29797\
              AND OL_O_ID >= 29777\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",209322,1695104552210.813
7,1695104577271,1.189,0.0,0,0,COMMIT,209321,1695104577269.811
8,1695104656550,1.005,0.0,0,0,COMMIT,209324,1695104656548.995
9,1695104698891,1.152,0.0,0,0,COMMIT,209326,1695104698889.848
10,1695104706051,1.09,0.0,0,0,COMMIT,209319,1695104706049.91
11,1695104709539,1.784,0.097,1,422,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 4\
              AND OL_O_ID < 30302\
              AND OL_O_ID >= 30282\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",209327,1695104709537.216
12,1695104821410,1.191,0.0,0,0,COMMIT,209330,1695104821408.809
13,1695104934862,1.238,0.0,0,0,COMMIT,209320,1695104934860.762
14,1695104952510,1.214,0.0,0,0,COMMIT,209323,1695104952508.786
15,1695104953285,1.516,0.0,0,0,COMMIT,209334,1695104953283.484
16,1695104992231,1.118,0.0,0,0,COMMIT,209335,1695104992229.882
17,1695105047952,1.052,0.0,0,0,COMMIT,209331,1695105047950.948
18,1695105097179,1.027,0.0,0,0,COMMIT,209338,1695105097177.973
19,1695105211431,1.195,0.0,0,0,COMMIT,209339,1695105211429.805
20,1695104267722,2.192,0.094,1,430,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 7\
              AND OL_O_ID < 30005\
              AND OL_O_ID >= 29985\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",209344,1695104267719.808
21,1695104298876,1.658,0.0,0,0,COMMIT,209341,1695104298874.342
23,1695104373281,1.363,0.0,0,0,COMMIT,209346,1695104373279.637
27,1695104408948,1.101,0.0,0,0,COMMIT,209348,1695104408946.899
28,1695104509196,1.169,0.0,0,0,COMMIT,209345,1695104509194.831
29,1695104529698,1.052,0.0,0,0,COMMIT,209349,1695104529696.948
30,1695104623618,1.215,0.0,0,0,COMMIT,209355,1695104623616.785
31,1695104692944,1.336,0.0,0,0,COMMIT,209351,1695104692942.664
32,1695104743430,1.335,0.0,0,0,COMMIT,209354,1695104743428.665
33,1695104779078,1.243,0.0,0,0,COMMIT,209357,1695104779076.757
34,1695104875037,1.255,0.0,0,0,COMMIT,209365,1695104875035.745
35,1695104889075,1.123,0.0,0,0,COMMIT,209362,1695104889073.877
36,1695104926518,1.047,0.0,0,0,COMMIT,209366,1695104926516.953
37,1695104950660,2.533,0.129,1,410,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 6\
              AND OL_O_ID < 29991\
              AND OL_O_ID >= 29971\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",209368,1695104950657.467
38,1695105105614,1.235,0.0,0,0,COMMIT,209369,1695105105612.765
39,1695105181937,1.276,0.0,0,0,COMMIT,209373,1695105181935.724
40,1695104222682,1.089,0.0,0,0,COMMIT,209376,1695104222680.911
41,1695104262228,1.033,0.0,0,0,COMMIT,209374,1695104262226.967
42,1695104316881,1.254,0.0,0,0,COMMIT,209385,1695104316879.746
43,1695104328299,1.006,0.0,0,0,COMMIT,209382,1695104328297.994
48,1695104398709,1.152,0.0,0,0,COMMIT,209389,1695104398707.848
49,1695104444533,1.158,0.118,1,430,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 7\
              AND OL_O_ID < 30005\
              AND OL_O_ID >= 29985\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",209391,1695104444531.842
50,1695104449131,1.195,0.0,0,0,COMMIT,209390,1695104449129.805
51,1695104498345,1.033,0.0,0,0,COMMIT,209392,1695104498343.967
52,1695104659303,1.103,0.0,0,0,COMMIT,209396,1695104659301.897
53,1695104708625,1.198,0.0,0,0,COMMIT,209394,1695104708623.802
54,1695104745662,1.06,0.0,0,0,COMMIT,209399,1695104745660.94
55,1695104769894,1.092,0.0,0,0,COMMIT,209397,1695104769892.908
56,1695104793252,2.048,0.105,1,404,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 1\
              AND OL_O_ID < 30134\
              AND OL_O_ID >= 30114\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",209402,1695104793249.952
57,1695104905522,1.189,0.0,0,0,COMMIT,209406,1695104905520.811
58,1695104919424,1.264,0.0,0,0,COMMIT,209400,1695104919422.736
59,1695104930271,1.163,0.0,0,0,COMMIT,209401,1695104930269.837
60,1695105001929,1.281,0.0,0,0,COMMIT,209405,1695105001927.719
61,1695105036058,1.193,0.0,0,0,COMMIT,209404,1695105036056.807
62,1695105059937,1.178,0.0,0,0,COMMIT,209407,1695105059935.822
63,1695105087398,1.16,0.0,0,0,COMMIT,209409,1695105087396.84
64,1695105116383,1.165,0.0,0,0,COMMIT,209415,1695105116381.835
65,1695105166703,1.538,0.0,0,0,COMMIT,209418,1695105166701.462
66,1695105195254,1.232,0.0,0,0,COMMIT,209410,1695105195252.768
67,1695104228031,1.099,0.0,0,0,COMMIT,209411,1695104228029.901
68,1695104233853,1.089,0.0,0,0,COMMIT,209414,1695104233851.911
69,1695104272357,1.158,0.0,0,0,COMMIT,209422,1695104272355.842
70,1695104331880,1.245,0.0,0,0,COMMIT,209424,1695104331878.755
73,1695104371598,1.346,0.0,0,0,COMMIT,209426,1695104371596.654
76,1695104422417,1.275,0.0,0,0,COMMIT,209428,1695104422415.725
77,1695104463289,1.157,0.0,0,0,COMMIT,209429,1695104463287.843
78,1695104476796,1.406,0.0,0,0,COMMIT,209425,1695104476794.594
79,1695104536678,1.071,0.0,0,0,COMMIT,209423,1695104536676.929
80,1695104606338,1.118,0.0,0,0,COMMIT,209430,1695104606336.882
81,1695104687053,1.052,0.0,0,0,COMMIT,209435,1695104687051.948
82,1695104728906,1.002,0.0,0,0,COMMIT,209433,1695104728904.998
83,1695104883410,1.054,0.0,0,0,COMMIT,209441,1695104883408.946
84,1695104976311,1.052,0.0,0,0,COMMIT,209446,1695104976309.948
85,1695105080677,1.144,0.0,0,0,COMMIT,209443,1695105080675.856
86,1695105136450,1.673,0.093,1,442,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 6\
              AND OL_O_ID < 30026\
              AND OL_O_ID >= 30006\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",209453,1695105136448.327
87,1695104264484,1.159,0.0,0,0,COMMIT,209457,1695104264482.841
88,1695104293866,1.052,0.0,0,0,COMMIT,209458,1695104293864.948
89,1695104323621,1.144,0.0,0,0,COMMIT,209459,1695104323619.856
90,1695104338653,1.589,0.0,0,0,COMMIT,209454,1695104338651.411
93,1695104355198,1.448,0.0,0,0,COMMIT,209460,1695104355196.552
95,1695104376952,4.016,0.0,0,0,COMMIT,209461,1695104376947.984
97,1695104490467,1.474,0.0,0,0,COMMIT,209462,1695104490465.526
98,1695104492557,1.606,0.076,1,420,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 7\
              AND OL_O_ID < 29917\
              AND OL_O_ID >= 29897\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",209470,1695104492555.394
99,1695104564562,1.092,0.0,0,0,COMMIT,209463,1695104564560.908
100,1695104629346,1.165,0.0,0,0,COMMIT,209456,1695104629344.835
101,1695104771734,1.186,0.0,0,0,COMMIT,209478,1695104771732.814
102,1695104789034,1.015,0.0,0,0,COMMIT,209468,1695104789032.985
103,1695104826593,1.102,0.0,0,0,COMMIT,209472,1695104826591.898
104,1695104827595,1.746,0.0,0,0,COMMIT,209480,1695104827593.254
105,1695104912350,1.251,0.0,0,0,COMMIT,209474,1695104912348.749
106,1695104985938,1.054,0.0,0,0,COMMIT,209485,1695104985936.946
107,1695105015373,1.059,0.0,0,0,COMMIT,209486,1695105015371.941
108,1695105135659,1.072,0.0,0,0,COMMIT,209490,1695105135657.928
109,1695105140917,1.234,0.0,0,0,COMMIT,209487,1695105140915.766
110,1695104235097,1.28,0.0,0,0,COMMIT,209493,1695104235095.72
111,1695104235895,1.32,0.0,0,0,COMMIT,209483,1695104235893.68
112,1695104272041,1.145,0.0,0,0,COMMIT,209484,1695104272039.855
114,1695104354177,1.723,0.0,0,0,COMMIT,209489,1695104354175.277
117,1695104386145,1.192,0.0,0,0,COMMIT,209499,1695104386143.808
119,1695104412331,1.072,0.0,0,0,COMMIT,209501,1695104412329.928
120,1695104456342,1.175,0.0,0,0,COMMIT,209503,1695104456340.825
121,1695104571997,1.053,0.0,0,0,COMMIT,209498,1695104571995.947
122,1695104805631,1.672,0.077,1,426,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 4\
              AND OL_O_ID < 29927\
              AND OL_O_ID >= 29907\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",209518,1695104805629.328
123,1695104966553,1.003,0.0,0,0,COMMIT,209523,1695104966551.997
124,1695105114856,1.986,0.086,1,420,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 9\
              AND OL_O_ID < 30075\
              AND OL_O_ID >= 30055\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",209531,1695105114854.014
125,1695105155554,1.027,0.0,0,0,COMMIT,209527,1695105155552.973
126,1695104226737,1.458,0.096,1,368,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 8\
              AND OL_O_ID < 29790\
              AND OL_O_ID >= 29770\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",209535,1695104226735.542
127,1695104234518,1.02,0.0,0,0,COMMIT,209534,1695104234516.98
128,1695104277164,1.03,0.0,0,0,COMMIT,209530,1695104277162.97
129,1695104283089,1.505,0.099,1,428,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 5\
              AND OL_O_ID < 30132\
              AND OL_O_ID >= 30112\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",209537,1695104283087.495
130,1695104346780,1.538,0.0,0,0,COMMIT,209538,1695104346778.462
134,1695104364317,1.014,0.0,0,0,COMMIT,209536,1695104364315.986
135,1695104368382,2.541,0.0,0,0,COMMIT,209540,1695104368379.459
137,1695104468551,1.073,0.0,0,0,COMMIT,209546,1695104468549.927
138,1695104469302,1.502,0.0,0,0,COMMIT,209541,1695104469300.498
139,1695104539420,1.129,0.0,0,0,COMMIT,209545,1695104539418.871
140,1695104572883,1.107,0.0,0,0,COMMIT,209544,1695104572881.893
141,1695104592804,1.069,0.0,0,0,COMMIT,209548,1695104592802.931
142,1695104598634,1.003,0.0,0,0,COMMIT,209543,1695104598632.997
143,1695104750333,1.003,0.087,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 6\
              AND OL_O_ID < 29994\
              AND OL_O_ID >= 29974\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",209555,1695104750331.997
144,1695104773043,1.625,0.093,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 8\
              AND OL_O_ID < 30200\
              AND OL_O_ID >= 30180\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",209556,1695104773041.375
145,1695104837316,1.129,0.0,0,0,COMMIT,209558,1695104837314.871
146,1695104849952,1.072,0.0,0,0,COMMIT,209559,1695104849950.928
147,1695104929249,1.07,0.0,0,0,COMMIT,209557,1695104929247.93
148,1695105006002,1.009,0.0,0,0,COMMIT,209560,1695105006000.991
149,1695105034487,1.404,0.0,0,0,COMMIT,209561,1695105034485.596
150,1695105063899,1.12,0.0,0,0,COMMIT,209563,1695105063897.88
151,1695105074115,1.444,0.0,0,0,COMMIT,209566,1695105074113.556
152,1695105108632,1.084,0.0,0,0,COMMIT,209570,1695105108630.916
