,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1698499575484,21.793,0.0,0,0,COMMIT,32307,1698499575462.207
5,1698499719170,2.573,0.108,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 2\
              AND OL_O_ID < 41319\
              AND OL_O_ID >= 41299\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",32311,1698499719167.427
6,1698498999617,45.988,0.0,0,0,COMMIT,32312,1698498999571.012
7,1698499049915,71.29,0.0,0,0,COMMIT,32313,1698499049843.71
11,1698499142468,14.617,0.0,0,0,COMMIT,32309,1698499142453.383
13,1698499201489,12.595,0.0,0,0,COMMIT,32308,1698499201476.405
14,1698499267064,2.252,21.878,1,430,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 2\
              AND OL_O_ID < 41132\
              AND OL_O_ID >= 41112\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",32318,1698499267061.748
17,1698499332478,11.862,0.0,0,0,COMMIT,32320,1698499332466.138
19,1698499499579,25.126,0.0,0,0,COMMIT,32310,1698499499553.874
20,1698499522477,43.804,0.0,0,0,COMMIT,32314,1698499522433.196
21,1698499591919,1.916,0.109,1,416,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 4\
              AND OL_O_ID < 41187\
              AND OL_O_ID >= 41167\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",32327,1698499591917.084
22,1698499636011,10.719,0.056,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (41397, '03', 1, 2, 45810, 1, '2023-10-28 21:13:26.572793', 6, 546.36, 'T6vjqNpIqJ4qGj1KkZw6Wq84')",32323,1698499636000.281
23,1698499641144,78.78,0.0,0,0,COMMIT,32324,1698499641065.22
24,1698499728179,19.149,0.0,0,0,COMMIT,32325,1698499728159.851
25,1698499749664,25.295,0.0,0,0,COMMIT,32321,1698499749638.705
26,1698498842530,13.775,0.0,0,0,COMMIT,32329,1698498842516.225
27,1698498870903,18.31,0.0,0,0,COMMIT,32315,1698498870884.69
28,1698498891849,16.394,0.0,0,0,COMMIT,32330,1698498891832.606
29,1698498952638,18.165,0.0,0,0,COMMIT,32322,1698498952619.835
30,1698498953665,13.196,0.0,0,0,COMMIT,32331,1698498953651.804
31,1698498993931,18.926,0.0,0,0,COMMIT,32323,1698498993912.074
36,1698499071493,24.865,0.0,0,0,COMMIT,32319,1698499071468.135
37,1698499117984,68.136,0.0,0,0,COMMIT,32332,1698499117915.864
38,1698499166514,1.942,0.0,0,0,COMMIT,32334,1698499166512.058
39,1698499232244,10.78,0.0,0,0,COMMIT,32336,1698499232233.22
41,1698499453079,1.055,0.0,0,0,COMMIT,32328,1698499453077.945
42,1698499530339,49.714,0.0,0,0,COMMIT,32340,1698499530289.286
43,1698499586935,31.28,0.0,0,0,COMMIT,32341,1698499586903.72
44,1698499752481,22.013,0.0,0,0,COMMIT,32338,1698499752458.987
45,1698498895798,10.802,0.0,0,0,COMMIT,32333,1698498895787.198
46,1698498945192,2.237,0.106,1,370,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 2\
              AND OL_O_ID < 41089\
              AND OL_O_ID >= 41069\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",32346,1698498945189.763
47,1698498959829,11.369,0.075,0,0,"INSERT INTO orders (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_CARRIER_ID, O_OL_CNT, O_ALL_LOCAL) VALUES (41130, 5, 3, 1799, '2023-10-28 21:13:27.864529', 0, 14, 1)",32344,1698498959817.631
51,1698499116928,9.533,0.0,0,0,COMMIT,32347,1698499116918.467
53,1698499141677,20.567,0.059,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (41130, '05', 3, 3, 97996, 3, '2023-10-28 21:13:27.864529', 4, 144.48, 'tGwbSlsAs33022XSGudjENyE')",32344,1698499141656.433
55,1698499197907,9.968,0.0,0,0,COMMIT,32350,1698499197897.032
56,1698499289389,1.158,0.0,0,0,COMMIT,32351,1698499289387.842
57,1698499415327,10.773,0.0,0,0,COMMIT,32342,1698499415316.227
58,1698499466885,2.939,0.0,0,0,COMMIT,32355,1698499466882.061
59,1698499540482,21.083,0.0,0,0,COMMIT,32339,1698499540460.917
60,1698499650470,17.945,0.0,0,0,COMMIT,32343,1698499650452.055
61,1698499680715,8.796,0.0,0,0,COMMIT,32344,1698499680706.204
62,1698499702480,22.311,0.0,0,0,COMMIT,32348,1698499702457.689
63,1698499747480,21.458,0.0,0,0,COMMIT,32352,1698499747458.542
65,1698498988830,21.828,0.0,0,0,COMMIT,32365,1698498988808.172
70,1698499133478,20.18,0.0,0,0,COMMIT,32357,1698499133457.82
72,1698499198912,8.935,0.0,0,0,COMMIT,32369,1698499198903.065
73,1698499199689,1.149,0.0,0,0,COMMIT,32358,1698499199687.851
74,1698499199746,1.275,0.0,0,0,COMMIT,32354,1698499199744.725
75,1698499239477,13.535,0.0,0,0,COMMIT,32373,1698499239463.465
76,1698499257622,26.844,0.0,0,0,COMMIT,32372,1698499257595.156
78,1698499274572,22.092,0.0,0,0,COMMIT,32364,1698499274549.908
79,1698499440933,7.481,0.0,0,0,COMMIT,32353,1698499440925.519
80,1698499514852,2.325,0.105,1,386,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 7\
              AND OL_O_ID < 40960\
              AND OL_O_ID >= 40940\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",32380,1698499514849.675
81,1698499519978,1.823,0.071,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (41291, '01', 2, 7, 75566, 2, '2023-10-28 21:13:28.896976', 10, 772.30, 'EaRJHiasvuGURNKv1K5WTRGr')",32362,1698499519976.177
82,1698499547647,21.184,0.0,0,0,COMMIT,32359,1698499547625.816
83,1698499582656,22.57,0.0,0,0,ROLLBACK,32360,1698499582633.43
84,1698499613135,10.586,0.0,0,0,COMMIT,32379,1698499613124.414
85,1698499667244,10.056,0.063,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (41315, '05', 1, 5, 30347, 1, '2023-10-28 21:13:29.376133', 9, 379.35, 'Z4QKqXxHUyl7RLDzT6KP0PlV')",32374,1698499667233.944
86,1698499691428,11.057,0.0,0,0,COMMIT,32381,1698499691416.943
87,1698499701309,19.13,0.0,0,0,COMMIT,32362,1698499701289.87
88,1698499757056,7.356,0.0,0,0,COMMIT,32376,1698499757048.644
89,1698499792423,12.43,0.0,0,0,COMMIT,32371,1698499792410.57
90,1698498858993,1.955,0.075,1,424,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 6\
              AND OL_O_ID < 41160\
              AND OL_O_ID >= 41140\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",32384,1698498858991.045
91,1698498877494,52.55,0.0,0,0,COMMIT,32383,1698498877441.45
92,1698498913487,21.869,0.0,0,0,COMMIT,32374,1698498913465.131
93,1698498944370,1.857,0.09,1,384,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 5\
              AND OL_O_ID < 41316\
              AND OL_O_ID >= 41296\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",32388,1698498944368.143
94,1698498947835,16.825,0.0,0,0,COMMIT,32377,1698498947818.175
95,1698498952945,1.489,0.0,0,0,COMMIT,32363,1698498952943.511
96,1698498995504,35.671,0.0,0,0,COMMIT,32361,1698498995468.329
97,1698499007489,29.624,0.0,0,0,COMMIT,32368,1698499007459.376
103,1698499153194,10.377,0.0,0,0,COMMIT,32390,1698499153183.623
104,1698499169401,18.751,0.0,0,0,COMMIT,32367,1698499169382.249
105,1698499192883,10.861,0.0,0,0,ROLLBACK,32378,1698499192872.139
107,1698499239654,1.125,0.0,0,0,Quit,32378,1698499239652.875
108,1698499346584,10.548,0.0,0,0,COMMIT,32375,1698499346573.452
109,1698499442142,47.949,0.0,0,0,COMMIT,32393,1698499442094.051
110,1698499470210,12.611,0.0,0,0,COMMIT,32394,1698499470197.389
111,1698499575706,56.036,0.0,0,0,COMMIT,32386,1698499575649.964
