,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1695112672823,1.174,0.0,0,0,COMMIT,314292,1695112672821.826
5,1695111811526,1.231,0.0,0,0,COMMIT,314295,1695111811524.769
6,1695111871273,1.191,0.0,0,0,COMMIT,314294,1695111871271.809
11,1695111969039,1.495,0.0,0,0,COMMIT,314303,1695111969037.505
12,1695111994800,1.202,0.0,0,0,COMMIT,314298,1695111994798.798
13,1695112111749,1.036,0.0,0,0,COMMIT,314309,1695112111747.964
14,1695112269280,1.133,0.0,0,0,COMMIT,314317,1695112269278.867
15,1695112427877,1.792,0.086,1,406,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 6\
              AND OL_O_ID < 30960\
              AND OL_O_ID >= 30940\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",314326,1695112427875.208
16,1695112699203,1.179,0.0,0,0,COMMIT,314336,1695112699201.821
17,1695112719100,1.009,0.0,0,0,COMMIT,314330,1695112719098.991
18,1695111770909,1.195,0.0,0,0,COMMIT,314342,1695111770907.805
21,1695111898278,2.581,0.087,1,426,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 7\
              AND OL_O_ID < 31029\
              AND OL_O_ID >= 31009\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",314352,1695111898275.419
24,1695111955051,1.092,0.0,0,0,COMMIT,314338,1695111955049.908
25,1695112027172,1.181,0.0,0,0,COMMIT,314357,1695112027170.819
26,1695112086001,1.36,0.091,1,374,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 1\
              AND OL_O_ID < 31058\
              AND OL_O_ID >= 31038\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",314362,1695112085999.64
27,1695112290881,1.174,0.0,0,0,COMMIT,314369,1695112290879.826
