Avg Threads Running,1,1,1.5,2,2.6,2.9,3.5,4.7,5.1,5.5,5.8,6.2,6.5,6.8,6.7,6.8,6.7,5.9,5.8,6,6.2,6.1,6.2,5.8,5.6,5.7,5.9,6.7,7,6.7,6.4,6.6,6.7,7,6.9,6.8,6.8,6.6,6.5,6.5,6.6,6.4,6.3,6,6.2,6.4,6.4,6.2,5.9,5.9,6.5,6.6,6.3,6.7,7.4,7.2,7.3,7.2,7.5,7.8,7.4,7.5,7.8,8.7,9.2,10.2,11.1,12.2,13.5,14.5,15.4,16.5,18.5,17.9,18.3,18.2,18.5,18.1,17.7,18.2,19,19,17.9,19,18.8,19,18.8,19.2,20.1,19.3,18.5,18.3,18,17.3,17.2,17.3,17,17.8,17.5,17.2,17.3,17.2,17.1,16.9,16.3,15.8,16,15.7,15.3,16,15.9,16,16.6,16.9,17.2,17.2,16.7,17,16.8,16.4,16.2
Peak Threads Connected,1,1,6,6,7,7,7,13,13,13,13,13,13,13,13,13,13,9,9,9,9,9,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,18,18,18,18,19,19,19,19,19,30,30,30,30,30,30,30,30,30,30,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,27,27,27,27,27,27,27,27,27,27,24,24,24,24,24,24,24,24,24,24,27,27,27,27
Peak Threads Running,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,8,10,10,15,15,15,15,15,15,25,25,25,25,25,25,25,25,25,25,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,12,12,12,12,12,12,12,12,13,16,16,16,16,16,16,16,16,16,16,15,15,14,14
Questions,37.66666667,38.22222222,65.77777778,179.6666667,322.6666667,446.1111111,578.6666667,704.8888889,825.8888889,921.4444444,1074.111111,1148.555556,1170.888889,1145.777778,1166.555556,1146.333333,1129,1124.555556,1121.888889,1076,1120.222222,1080.222222,1073,1034.555556,1043.888889,1036.222222,1045.888889,1092.111111,1128.777778,1101.666667,1131,1117.777778,1138.666667,1153.555556,1182,1184.555556,1159.222222,1123,1130.444444,1173,1176.555556,1166,1141.666667,1120.555556,1155.222222,1174.444444,1186.444444,1178.888889,1117.333333,1160.222222,1154.888889,1164.444444,1166.777778,1122.111111,1110.333333,1127.555556,1116.888889,1133,1123.666667,1167.111111,1188.444444,1187.666667,1186,1194.490725,1171.444444,1152.555556,1131.333333,1137.555556,1112.444444,1077.111111,1088.222222,1093.666667,1054.573747,1064.444444,1095.222222,1117.222222,1066.525988,1061,1071,1064.111111,1058.222222,1104.222222,1077.888889,1078.640453,1082.222222,1142.730102,1139.333333,1141.111111,1101.333333,1140.588562,1137.555556,1143.222222,1129.265311,1154.111111,1154.666667,1128.333333,1125.111111,1169.666667,1169.649805,1147.111111,1149,1163.444444,1107,1108.666667,1111.123446,1122.555556,1099.666667,1080.666667,1122.666667,1112,1112.444444,1130.444444,1078.888889,1134.008007,1135.888889,1134.444444,1096,1052,1068.222222,1076.666667,1064.111111
Threads Created,0,0,0,0,0,0,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.333333333,0.333333333,0.333333333,0.222222222,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.444444444,0.444444444,0.444444444,0.444444444,0.222222222,0.333333333,0.333333333,0.333333333,0.333333333,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0,0,0,0,0,0.111111111,0.111111111,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.111111111,0.111111111,0.111111111,1.110740864,1.111111111,1.111111111,1.111111111,1.444444444,1.666666667,1.666666667,1.666666667,2.777777778,2.667555852,2.666666667,3,3,2.887605509,3.777777778,3.777777778,4.111111111,3,2.888888889,2.888888889,2.887926247,2.888888889,2.667852379,1.555555556,2.666666667,2.666666667,2.998334259,2.555555556,2.555555556,2.22296321,2.666666667,2.666666667,2.666666667,2.555555556,2.555555556,2.445803224,2,2,2,1.555555556,1.888888889,1.887211368,1.333333333,1,1.222222222,1.222222222,1.222222222,1.444444444,1.444444444,1.222222222,1.556939502,1.222222222,1.222222222,0.777777778,1.666666667,2,1.777777778,1.777777778
Created Tmp Disk Tables,8.777777778,9.111111111,9.111111111,9.111111111,9.222222222,8.777777778,8.888888889,9,8.888888889,9.111111111,8.888888889,9,9,8.888888889,9.222222222,9.111111111,8.888888889,9.111111111,8.888888889,9.111111111,9,8.888888889,9,9,8.777777778,8.888888889,8.888888889,9.222222222,9,9,8.888888889,9.111111111,9,9.222222222,9.222222222,9.222222222,9,9.111111111,8.888888889,9.111111111,8.888888889,8.777777778,8.777777778,8.777777778,8.888888889,8.888888889,9,9.111111111,9.111111111,9,9,9,9.222222222,8.888888889,9,9,8.888888889,8.777777778,9.111111111,9.111111111,9.111111111,9,9.222222222,9.108075086,8.888888889,9.111111111,9.222222222,9,8.888888889,9.111111111,9,8.777777778,8.89185284,9,8.888888889,8.888888889,8.773878276,9.111111111,8.888888889,8.777777778,9.222222222,9,8.888888889,9.108075086,9.111111111,9.22632281,9,9,9,8.883953359,9.111111111,9.111111111,8.89185284,8.888888889,8.888888889,8.888888889,9,9,9.116175653,8.888888889,9,8.888888889,9,9.111111111,8.992007105,9,9.111111111,8.777777778,9.111111111,9,9.222222222,8.888888889,8.777777778,9.008007117,9,8.888888889,9.111111111,9,8.888888889,9,9
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1,1.333333333,1.666666667,2.555555556,4.444444444,5.222222222,6.666666667,6.888888889,11.33333333,10.55555556,12.11111111,12.22222222,12.44444444,11.88888889,12.33333333,13.77777778,15,12.11111111,16.44444444,17,16.77777778,15.66666667,15.55555556,14.44444444,14.88888889,18.44444444,19.55555556,15.66666667,15.77777778,16.11111111,18.44444444,18.88888889,22.88888889,21.77777778,18,17.11111111,20.44444444,24.66666667,24.66666667,22.77777778,23.11111111,21.66666667,27.66666667,28.66666667,27,27.88888889,22.22222222,24,23.77777778,24,23.33333333,17.33333333,15.88888889,16,11.44444444,12.44444444,11,16.11111111,18.33333333,16.33333333,15.11111111,17.43863157,19.11111111,20.77777778,21.33333333,22,19.55555556,16.77777778,19,20.66666667,18.78403912,19,19.33333333,20,19.88005331,18,17.88888889,16.77777778,16.44444444,18.55555556,17.66666667,18.43829834,19.22222222,20.89817697,25.22222222,24.66666667,24,21.98778456,18.77777778,21,19.45092809,18.44444444,16.44444444,12.44444444,13,13.22222222,16.67593107,20,18.55555556,17,15.88888889,18.33333333,17.42895204,17.33333333,17.22222222,15.88888889,17.55555556,17.11111111,18,18.44444444,16.44444444,17.68238434,17.11111111,16.77777778,15.88888889,12.66666667,12.77777778,15.66666667,14.44444444
