,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
6,1694869403174,1.448,0.144,1,1,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 1 AND C_D_ID = 6 AND C_ID = 2091",6102,1694869403172.552
9,1694869433973,1.638,0.079,0,0,"INSERT INTO history VALUES (2091, 6, 3, 6, 1, '2023-09-16 21:01:10.128513', 4344.77e0, 'loXqSbK7Q    CsCelCME')",6102,1694869433971.362
10,1694869438339,1.192,0.0,0,0,COMMIT,6102,1694869438337.808
12,1694869491455,1.289,0.0,0,0,COMMIT,6105,1694869491453.711
13,1694869509170,3.396,0.061,0,0,"INSERT INTO history VALUES (2077, 2, 3, 2, 3, '2023-09-16 21:01:10.213176', 1377.69e0, 'TLX3VMG9    ThOCk7p5')",6106,1694869509166.604
14,1694869515129,9.247,0.082,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23357, 10, 1, 2, 20557, 1, '2023-09-16 21:01:10.157008', 2, 81.28, 'vWKk0zV6C00rC067bfQCZSnU')",6104,1694869515119.753
15,1694869519024,1.54,0.075,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 24479",6107,1694869519022.46
16,1694869540702,5.081,0.069,0,1,"UPDATE stock SET S_QUANTITY = 48, S_YTD = 88, S_ORDER_CNT = 13, S_REMOTE_CNT = 0 WHERE S_I_ID = 22399 AND S_W_ID = 1",6104,1694869540696.919
17,1694869578157,5.073,0.054,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 4925",6108,1694869578151.927
18,1694869578369,2.912,0.068,0,1,UPDATE district SET D_NEXT_O_ID = 23414 WHERE D_ID = 4 AND D_W_ID = 2,6107,1694869578366.088
19,1694869579669,5.649,0.063,0,1,"UPDATE stock SET S_QUANTITY = 62, S_YTD = 119, S_ORDER_CNT = 21, S_REMOTE_CNT = 0 WHERE S_I_ID = 77599 AND S_W_ID = 1",6104,1694869579663.351
20,1694869587745,6.167,0.076,0,0,"INSERT INTO orders (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_CARRIER_ID, O_OL_CNT, O_ALL_LOCAL) VALUES (23413, 4, 2, 115, '2023-09-16 21:01:10.242426', 0, 14, 1)",6107,1694869587738.833
21,1694869589104,5.937,0.107,3,3,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 4 AND C_D_ID = 8 AND C_LAST = 'ESEBARABLE' ORDER BY C_FIRST",6109,1694869589098.063
22,1694869595822,1.955,0.053,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23357, 10, 1, 8, 80212, 1, '2023-09-16 21:01:10.157008', 4, 233.48, 'f3Jv4AQTkdudcIXYObNI6usH')",6104,1694869595820.045
23,1694869600614,1.787,0.069,0,1,"UPDATE stock SET S_QUANTITY = 93, S_YTD = 85, S_ORDER_CNT = 16, S_REMOTE_CNT = 0 WHERE S_I_ID = 14285 AND S_W_ID = 2",6107,1694869600612.213
24,1694869604632,7.483,0.06,0,0,"INSERT INTO orders (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_CARRIER_ID, O_OL_CNT, O_ALL_LOCAL) VALUES (23451, 6, 3, 99, '2023-09-16 21:01:10.286394', 0, 5, 0)",6108,1694869604624.517
25,1694869630889,11.783,0.057,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23451, '06', 3, 1, 47163, 3, '2023-09-16 21:01:10.286394', 3, 175.62, 'gpKcmlJja2onKLqObdcGUWUE')",6108,1694869630877.217
26,1694869633865,34.932,0.0,0,0,COMMIT,6104,1694869633830.068
27,1694869635116,1.042,0.065,1,1,"SELECT S_QUANTITY, S_DATA, S_YTD, S_ORDER_CNT, S_REMOTE_CNT, S_DIST_06 FROM stock WHERE S_I_ID = 47522 AND S_W_ID = 3",6108,1694869635114.958
28,1694869647163,47.685,0.078,0,1,UPDATE warehouse SET W_YTD = W_YTD + 3597.66e0 WHERE W_ID = 4,6109,1694869647115.315
29,1694869651811,38.018,0.076,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23413, '04', 2, 2, 24479, 2, '2023-09-16 21:01:10.242426', 9, 760.59, 'qBfnLtqree3fg8UvTbW52yf0')",6107,1694869651772.982
30,1694869661909,1.422,0.0,0,0,COMMIT,6109,1694869661907.578
31,1694869674944,1.298,0.056,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23413, '04', 2, 4, 78622, 2, '2023-09-16 21:01:10.242426', 5, 138.10, 'Ed3OCSKyGCKksnGLDcvOh5GL')",6107,1694869674942.702
32,1694869679470,2.151,0.068,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23451, '06', 3, 5, 4925, 3, '2023-09-16 21:01:10.286394', 5, 468.60, '73vYbTpmNsPsbmSqJovJOuiy')",6108,1694869679467.849
33,1694869684067,1.071,0.0,0,0,COMMIT,6108,1694869684065.929
34,1694869686669,1.575,0.056,0,0,"INSERT INTO new_orders (NO_O_ID, NO_D_ID, NO_W_ID) VALUES (23614, 7, 1)",6110,1694869686667.425
35,1694869688282,5.935,0.099,2,2,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 4 AND C_D_ID = 6 AND C_LAST = 'CALLYANTIANTI' ORDER BY C_FIRST",6113,1694869688276.065
36,1694869691842,6.66,0.05,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23413, '04', 2, 5, 20679, 2, '2023-09-16 21:01:10.242426', 5, 102.20, 'Xf5pZSWv1Ixxw42g7hZ0fTrd')",6107,1694869691835.34
37,1694869699832,1.062,0.065,0,1,UPDATE district SET D_NEXT_O_ID = 23348 WHERE D_ID = 4 AND D_W_ID = 4,6111,1694869699830.938
38,1694869704836,1.8,0.074,0,0,"INSERT INTO orders (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_CARRIER_ID, O_OL_CNT, O_ALL_LOCAL) VALUES (23347, 4, 4, 1059, '2023-09-16 21:01:10.380338', 0, 10, 1)",6111,1694869704834.2
39,1694869710380,1.551,0.053,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23614, '07', 1, 2, 7023, 1, '2023-09-16 21:01:10.341611', 1, 94.80, 'SUeAw2IZKjUBVuZ0aY3rG4ee')",6110,1694869710378.449
40,1694869710531,3.233,0.072,0,1,"UPDATE customer SET C_BALANCE = 720.5900000000001e0, C_YTD_PAYMENT = 38408.97e0, C_PAYMENT_CNT = 17 WHERE C_W_ID = 2 AND C_D_ID = 10 AND C_ID = 1408",6113,1694869710527.767
41,1694869715870,1.63,0.048,1,1,"SELECT S_QUANTITY, S_DATA, S_YTD, S_ORDER_CNT, S_REMOTE_CNT, S_DIST_07 FROM stock WHERE S_I_ID = 35290 AND S_W_ID = 1",6110,1694869715868.37
42,1694869718906,5.321,0.068,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23413, '04', 2, 7, 96713, 2, '2023-09-16 21:01:10.242426', 3, 207.99, 'mom33ynKFlz40mLb4bQXgeVp')",6107,1694869718900.679
43,1694869719672,5.273,0.056,0,0,"INSERT INTO history VALUES (1408, 10, 2, 6, 4, '2023-09-16 21:01:10.410767', 2691.47e0, 'XmJEHN    EaIxQWAl')",6113,1694869719666.727
44,1694869724676,1.368,0.067,1,1,"SELECT S_QUANTITY, S_DATA, S_YTD, S_ORDER_CNT, S_REMOTE_CNT, S_DIST_04 FROM stock WHERE S_I_ID = 55729 AND S_W_ID = 4",6111,1694869724674.632
45,1694869727126,1.252,0.046,1,1,"SELECT S_QUANTITY, S_DATA, S_YTD, S_ORDER_CNT, S_REMOTE_CNT, S_DIST_07 FROM stock WHERE S_I_ID = 55501 AND S_W_ID = 1",6110,1694869727124.748
46,1694869727956,2.42,0.076,0,1,"UPDATE stock SET S_QUANTITY = 47, S_YTD = 54, S_ORDER_CNT = 15, S_REMOTE_CNT = 0 WHERE S_I_ID = 98751 AND S_W_ID = 2",6107,1694869727953.58
47,1694869729782,7.011,0.0,0,0,COMMIT,6113,1694869729774.989
48,1694869732529,1.299,0.057,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23413, '04', 2, 8, 98751, 2, '2023-09-16 21:01:10.242426', 8, 243.60, 's94bwmzEGCfJ4x4V8jxUozxA')",6107,1694869732527.701
49,1694869734802,2.278,0.063,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (23347, '04', 4, 2, 55729, 4, '2023-09-16 21:01:10.380338', 10, 765.70, 'GRcMKIREPpHYi9MR5CbWhfQk')",6111,1694869734799.722
50,1694869741982,1.198,0.065,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 70031",6115,1694869741980.802
51,1694869742027,1.354,0.066,0,1,"UPDATE stock SET S_QUANTITY = 79, S_YTD = 108, S_ORDER_CNT = 19, S_REMOTE_CNT = 1 WHERE S_I_ID = 37316 AND S_W_ID = 1",6110,1694869742025.646
