,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
8,1695027970508,1.169,0.0,0,0,COMMIT,13587,1695027970506.831
9,1695028136367,1.116,0.0,0,0,COMMIT,13591,1695028136365.884
10,1695028181466,1.061,0.0,0,0,COMMIT,13593,1695028181464.939
11,1695028259811,1.012,0.0,0,0,COMMIT,13600,1695028259809.988
12,1695028343366,1.23,0.0,0,0,COMMIT,13604,1695028343364.77
13,1695028423320,1.195,0.0,0,0,COMMIT,13601,1695028423318.805
14,1695028497273,1.123,0.0,0,0,COMMIT,13607,1695028497271.877
15,1695028536238,1.045,0.0,0,0,COMMIT,13609,1695028536236.955
16,1695028690684,1.104,0.0,0,0,COMMIT,13616,1695028690682.896
17,1695027848437,1.389,0.0,0,0,COMMIT,13620,1695027848435.611
18,1695027880694,1.058,0.0,0,0,COMMIT,13626,1695027880692.942
20,1695027940782,1.176,0.0,0,0,COMMIT,13622,1695027940780.824
23,1695027965395,1.107,0.0,0,0,COMMIT,13625,1695027965393.893
24,1695027992480,1.014,0.0,0,0,COMMIT,13630,1695027992478.986
25,1695028079620,1.02,0.0,0,0,COMMIT,13635,1695028079618.98
26,1695028122331,1.667,0.0,0,0,COMMIT,13627,1695028122329.333
27,1695028192027,1.99,0.087,1,432,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 10\
              AND OL_O_ID < 27571\
              AND OL_O_ID >= 27551\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",13646,1695028192025.01
28,1695028197041,1.081,0.0,0,0,COMMIT,13645,1695028197039.919
29,1695028231316,1.243,0.0,0,0,COMMIT,13647,1695028231314.757
30,1695028273920,1.082,0.0,0,0,COMMIT,13644,1695028273918.918
31,1695028288609,1.099,0.0,0,0,COMMIT,13639,1695028288607.901
32,1695028335020,1.08,0.0,0,0,COMMIT,13640,1695028335018.92
33,1695028681761,1.08,0.0,0,0,COMMIT,13663,1695028681759.92
34,1695028723891,1.147,0.0,0,0,COMMIT,13660,1695028723889.853
35,1695028781813,1.354,0.0,0,0,COMMIT,13670,1695028781811.646
36,1695027894127,1.104,0.0,0,0,COMMIT,13671,1695027894125.896
37,1695027913094,1.044,0.0,0,0,COMMIT,13665,1695027913092.956
42,1695027963195,1.057,0.0,0,0,COMMIT,13677,1695027963193.943
44,1695028017028,1.098,0.0,0,0,COMMIT,13672,1695028017026.902
45,1695028033350,1.177,0.0,0,0,COMMIT,13673,1695028033348.823
46,1695028141149,1.227,0.0,0,0,COMMIT,13685,1695028141147.773
47,1695028235993,1.018,0.0,0,0,COMMIT,13679,1695028235991.982
48,1695028298593,1.136,0.0,0,0,COMMIT,13680,1695028298591.864
49,1695028317109,1.203,0.0,0,0,COMMIT,13686,1695028317107.797
50,1695028654248,1.019,0.0,0,0,COMMIT,13705,1695028654246.981
51,1695028696999,1.131,0.0,0,0,COMMIT,13707,1695028696997.869
52,1695028778289,1.101,0.0,0,0,COMMIT,13714,1695028778287.899
53,1695027836471,1.014,0.0,0,0,COMMIT,13716,1695027836469.986
54,1695027880742,1.216,0.0,0,0,COMMIT,13704,1695027880740.784
58,1695027967590,1.247,0.0,0,0,COMMIT,13713,1695027967588.753
60,1695027992709,1.557,0.087,1,384,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 4\
              AND OL_O_ID < 27708\
              AND OL_O_ID >= 27688\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",13727,1695027992707.443
61,1695027993558,1.04,0.0,0,0,COMMIT,13711,1695027993556.96
62,1695028044813,1.022,0.0,0,0,COMMIT,13728,1695028044811.978
63,1695028063203,1.881,0.092,1,406,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 3\
              AND OL_O_ID < 27962\
              AND OL_O_ID >= 27942\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",13731,1695028063201.119
64,1695028064432,1.111,0.0,0,0,COMMIT,13709,1695028064430.889
65,1695028106306,1.147,0.0,0,0,COMMIT,13719,1695028106304.853
66,1695028136032,1.026,0.0,0,0,COMMIT,13721,1695028136030.974
67,1695028151210,1.014,0.0,0,0,COMMIT,13725,1695028151208.986
68,1695028245177,1.246,0.0,0,0,COMMIT,13722,1695028245175.754
69,1695028319076,1.054,0.0,0,0,COMMIT,13740,1695028319074.946
70,1695028386815,1.059,0.0,0,0,COMMIT,13745,1695028386813.941
71,1695028449368,1.249,0.0,0,0,COMMIT,13732,1695028449366.751
72,1695028492523,1.347,0.0,0,0,COMMIT,13746,1695028492521.653
73,1695028521888,1.07,0.0,0,0,COMMIT,13743,1695028521886.93
74,1695028558778,1.534,0.088,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 6\
              AND OL_O_ID < 27828\
              AND OL_O_ID >= 27808\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",13753,1695028558776.466
75,1695028579130,1.282,0.0,0,0,COMMIT,13752,1695028579128.718
76,1695028599569,1.803,0.092,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 5\
              AND OL_O_ID < 27969\
              AND OL_O_ID >= 27949\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",13754,1695028599567.197
77,1695028724103,1.167,0.0,0,0,COMMIT,13757,1695028724101.833
