,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
2,1698460805826,1.242,0.0,0,0,COMMIT,93423,1698460805824.758
3,1698460863962,1.159,0.0,0,0,COMMIT,93419,1698460863960.841
4,1698461261101,1.401,0.0,0,0,COMMIT,93433,1698461261099.599
9,1698460508512,1.213,0.0,0,0,COMMIT,93440,1698460508510.787
10,1698460559129,1.016,0.0,0,0,COMMIT,93441,1698460559127.984
11,1698460605299,1.149,0.0,0,0,COMMIT,93442,1698460605297.851
12,1698460629020,1.24,0.0,0,0,COMMIT,93437,1698460629018.76
13,1698460629807,1.479,0.0,0,0,COMMIT,93443,1698460629805.521
14,1698460695194,1.244,0.0,0,0,COMMIT,93446,1698460695192.756
15,1698460873610,1.154,0.0,0,0,COMMIT,93449,1698460873608.846
16,1698461257471,1.101,0.0,0,0,COMMIT,93460,1698461257469.899
21,1698460608315,1.017,0.0,0,0,COMMIT,93464,1698460608313.983
22,1698460611543,1.543,0.099,1,394,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 2\
              AND OL_O_ID < 38818\
              AND OL_O_ID >= 38798\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",93471,1698460611541.457
23,1698460829681,1.512,0.0,0,0,COMMIT,93479,1698460829679.488
24,1698461169071,1.469,0.087,1,406,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 4\
              AND OL_O_ID < 38809\
              AND OL_O_ID >= 38789\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",93487,1698461169069.531
25,1698461277604,1.347,0.094,1,406,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 6\
              AND OL_O_ID < 38874\
              AND OL_O_ID >= 38854\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",93490,1698461277602.653
26,1698461297170,1.013,0.0,0,0,COMMIT,93488,1698461297168.987
32,1698460567136,1.105,0.0,0,0,COMMIT,93497,1698460567134.895
33,1698460615934,2.249,0.107,1,430,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 7\
              AND OL_O_ID < 38925\
              AND OL_O_ID >= 38905\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",93499,1698460615931.751
34,1698460734772,1.156,0.0,0,0,COMMIT,93501,1698460734770.844
35,1698460771391,1.124,0.093,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 1\
              AND OL_O_ID < 38972\
              AND OL_O_ID >= 38952\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",93503,1698460771389.876
36,1698460867860,1.03,0.0,0,0,COMMIT,93504,1698460867858.97
37,1698461075523,1.627,0.095,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 9\
              AND OL_O_ID < 38898\
              AND OL_O_ID >= 38878\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",93510,1698461075521.373
38,1698461092333,1.374,0.0,0,0,COMMIT,93505,1698461092331.626
39,1698461120651,1.014,0.0,0,0,COMMIT,93506,1698461120649.986
40,1698461261449,1.13,0.0,0,0,COMMIT,93508,1698461261447.87
43,1698460454253,1.108,0.0,0,0,COMMIT,93516,1698460454251.892
45,1698460465304,1.333,0.0,0,0,COMMIT,93515,1698460465302.667
47,1698460605257,1.057,0.0,0,0,COMMIT,93522,1698460605255.943
48,1698460720347,1.004,0.0,0,0,COMMIT,93521,1698460720345.996
49,1698460733557,1.506,0.093,1,402,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 10\
              AND OL_O_ID < 38750\
              AND OL_O_ID >= 38730\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",93526,1698460733555.494
50,1698461027880,1.111,0.0,0,0,COMMIT,93533,1698461027878.889
51,1698461194487,1.015,0.0,0,0,COMMIT,93529,1698461194485.985
52,1698460347765,1.094,0.0,0,0,COMMIT,93532,1698460347763.906
